Series ID,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25
359_0,82,83,82,83,83,83,83,82,83,83,83,83,83,83,83,83,84,84,83,83,84,86,88,87,73,73,72,,,
359_1,53,54,54,54,55,54,54,54,55,55,55,54,54,54,55,55,55,56,55,55,56,58,60,60,52,53,51,,,
360_0,69,69,69,69,69,69,69,69,69,68,69,68,69,69,69,69,69,69,69,69,70,74,74,73,63,63,62,,,
360_1,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,54,59,59,58,53,53,52,,,
361_0,73,74,74,71,73,72,72,72,73,43,37,38,37,37,37,41,40,45,45,63,70,76,77,77,63,63,62,,,
361_1,54,54,55,51,52,52,52,52,54,33,31,31,31,31,31,33,33,37,36,50,53,56,56,56,50,51,50,,,
362_0,79,79,80,79,80,79,80,79,79,79,79,80,79,80,80,80,80,80,80,80,81,84,84,84,72,71,70,,,
362_1,64,63,66,64,64,64,63,63,64,65,63,65,64,64,66,64,65,66,64,64,65,71,71,70,59,59,57,,,
363_0,62,63,63,63,63,63,63,62,62,63,62,63,62,63,63,63,64,63,63,63,63,67,68,68,62,62,62,,,
363_1,43,44,43,44,45,44,44,43,43,45,43,43,43,44,43,44,43,43,45,45,44,49,49,49,47,47,46,,,
364_0,75,73,72,72,75,75,73,73,75,75,73,73,72,76,74,73,72,77,76,73,74,80,82,82,70,70,70,,,
364_1,54,52,52,52,54,54,52,52,54,54,52,52,52,54,53,52,52,56,55,52,54,59,59,59,54,55,55,,,
365_0,77,78,79,78,71,77,78,78,70,78,78,79,79,77,78,78,78,74,78,79,79,77,86,86,70,70,69,,,
365_1,54,54,54,54,51,54,54,54,50,54,54,54,54,53,53,54,54,54,55,54,54,56,61,61,54,55,54,,,
366_0,73,71,70,70,73,73,71,70,73,73,70,70,70,73,71,70,70,77,76,71,71,76,77,76,68,68,68,,,
366_1,54,52,52,52,54,54,52,52,54,54,52,52,52,54,53,53,53,60,58,53,53,58,59,59,54,55,55,,,
367_0,73,71,71,70,73,71,70,70,73,72,70,70,69,72,71,70,71,72,72,71,70,75,76,76,67,67,66,,,
367_1,56,54,54,53,56,54,54,54,56,55,54,54,53,55,55,54,54,55,55,54,54,59,60,60,53,55,54,,,
368_0,50,48,48,47,51,48,47,48,52,51,49,50,47,50,49,49,49,51,49,49,52,54,54,56,52,54,54,,,
368_1,40,38,39,39,41,39,38,37,40,40,39,38,38,40,38,38,38,41,40,39,39,45,45,47,45,46,47,,,
369_0,83,84,85,83,84,84,84,84,84,84,84,84,85,85,85,85,86,86,86,86,86,87,87,86,75,75,74,,,
369_1,60,59,59,60,60,60,60,60,60,60,61,60,61,61,61,61,61,62,61,61,61,62,64,63,59,60,58,,,
370_0,73,68,68,68,73,72,68,68,74,73,69,68,68,73,70,69,68,74,70,69,69,76,75,75,65,64,64,,,
370_1,55,51,51,51,56,54,51,51,56,55,52,52,52,55,52,52,52,56,53,52,52,60,58,59,51,52,52,,,
371_0,68,63,63,63,68,66,63,63,68,68,64,63,63,67,64,64,63,68,65,64,64,71,71,71,62,60,61,,,
371_1,52,49,49,49,53,51,49,49,53,52,49,49,49,52,50,49,49,53,50,50,50,56,57,57,50,50,50,,,
372_0,78,79,79,79,76,79,79,79,72,79,79,79,79,79,79,80,80,79,80,80,80,82,85,86,73,72,72,,,
372_1,54,54,54,54,53,54,54,54,51,55,54,54,54,55,54,55,55,55,55,55,55,59,62,62,55,55,56,,,
373_0,68,69,69,69,70,69,69,68,69,69,68,70,68,69,69,69,70,69,69,69,71,75,77,77,65,66,67,,,
373_1,52,53,53,54,54,53,53,53,53,53,53,54,53,53,54,54,54,54,53,53,54,58,59,59,53,56,58,,,
374_0,72,72,72,72,73,73,73,73,72,72,73,73,73,72,73,73,73,73,73,73,74,78,81,81,63,64,65,,,
374_1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,50,53,54,54,50,53,54,,,
375_0,75,75,75,75,75,76,75,75,75,75,76,76,75,75,75,76,76,76,76,76,76,79,81,80,69,69,69,,,
375_1,64,64,64,64,64,65,64,64,65,64,65,65,64,64,65,65,65,65,65,65,65,69,72,72,59,59,60,,,
