Series ID,Thu Mar 21 2019 19:00:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:05:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:10:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:15:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:20:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:25:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:30:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:35:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:40:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:45:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:50:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:55:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:00:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:05:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:10:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:15:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:20:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:25:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:30:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:35:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:40:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:45:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:50:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:55:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 16:00:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 16:05:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 16:10:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 16:15:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 16:20:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 16:25:00 GMT-0500 (Central Daylight Time)
0_0,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,59,59,58,58,58,59,61,62,62,59,60,58,,,
0_1,46,46,46,46,46,47,46,46,46,47,46,46,47,47,47,47,47,47,46,46,48,49,51,51,49,50,49,,,
0_2,22,22,22,22,23,23,23,22,23,23,23,23,22,23,23,23,23,23,23,23,24,26,29,30,31,31,27,,,
0_3,0.501389,0.500972,0.501667,0.501667,0.500972,0.500556,0.500417,0.500694,0.500556,0.500417,0.500556,0.500556,0.500972,0.500972,0.500833,0.500833,0.500694,0.500694,0.501111,0.501389,0.501389,0.501389,0.500833,0.500972,0.500833,0.500972,0.500972,,,
0_4,8.949600850407489,8.95845926172958,8.935010525876983,8.966796590032724,8.934489442858037,8.936052691914877,8.936573774933823,8.93553160889593,8.935010525876983,8.945432186255916,8.93553160889593,8.935010525876983,8.93553160889593,8.93553160889593,8.935010525876983,8.93709485795277,8.936052691914877,8.940221356066449,8.93396835983909,8.93396835983909,8.933447276820143,8.93396835983909,8.935010525876983,8.93396835983909,8.932926193801197,8.93709485795277,8.95220626550222,,,
0_5,9800,9800,9800,9870,9800,9800,9800,9870,9800,9870,9800,9800,9800,9800,9870,9870,9870,9870,9870,9870,9870,10430,11550,11550,8540,8470,8330,,,
0_6,9800,9800,9800,9800,9800,9870,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,10010,9870,9870,10010,10500,11550,11550,8540,8540,8470,,,
0_7,9800,9800,9800,9800,9800,9800,9800,9870,9800,9800,9870,9800,9800,9800,9800,9800,9800,9870,9870,9870,9870,10430,11550,11480,8540,8470,8330,,,
0_8,9800,9800,9800,9870,9800,9870,9870,9800,9800,9870,9870,9870,9800,9800,9800,9800,9800,9870,9870,9870,10010,10430,11550,11690,8540,8540,8470,,,
0_9,79.0625,78.125,78.4375,77.5,78.4375,77.8125,77.8125,77.1875,78.75,77.5,77.8125,78.75,77.1875,78.125,78.4375,77.8125,79.0625,78.4375,78.4375,78.4375,78.75,78.75,78.4375,78.125,55,54.0625,54.375,,,
1_0,77,77,77,77,77,78,78,77,78,77,77,78,78,78,78,78,78,77,78,77,78,79,79,78,73,74,73,,,
1_1,62,62,62,61,62,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,63,64,64,60,61,59,,,
1_2,22,22,22,22,23,23,23,22,22,23,23,23,23,23,23,23,23,23,23,23,24,26,29,30,31,31,27,,,
