Series ID,Thu Mar 21 2019 19:00:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:05:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:10:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:15:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:20:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:25:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:30:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:35:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:40:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:45:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:50:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:55:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:00:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:05:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:10:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:15:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:20:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:25:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:30:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:35:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:40:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:45:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:50:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:55:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 16:00:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 16:05:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 16:10:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 16:15:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 16:20:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 16:25:00 GMT-0500 (Central Daylight Time)
1_3,0.498056,0.499028,0.499861,0.499444,0.498889,0.498889,0.498611,0.497639,0.496944,0.497778,0.497917,0.497083,0.498194,0.498611,0.498472,0.497778,0.497361,0.496944,0.498194,0.498472,0.498056,0.498472,0.499028,0.499167,0.49875,0.497917,0.497778,,,
1_4,18.274902557475457,18.273339308418617,18.273339308418617,18.310857285782774,18.310857285782774,18.273860391437566,18.273339308418617,18.28949288200596,18.28949288200596,18.27125497634283,18.26969172728599,18.268649561248097,18.270212810304937,18.281155553702817,18.281155553702817,18.271776059361777,18.287408549930177,18.301477791441734,18.272297142380726,18.291577214081748,18.291577214081748,18.291577214081748,18.270212810304937,18.27281822539967,18.271776059361777,18.287408549930177,18.271776059361777,,,
1_5,9800,9800,9800,9870,9800,9800,9800,9800,9800,9870,9800,9870,9800,9800,9870,9870,9870,9870,9870,9870,9870,10500,11550,11550,8540,8470,8330,,,
1_6,9800,9800,9800,9800,9800,9870,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9870,9870,9870,10010,10500,11550,11550,8540,8470,8470,,,
1_7,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9870,9800,9800,9800,9800,9800,9800,9870,9870,9870,9870,10500,11550,11480,8540,8470,8330,,,
1_8,9800,9800,9800,9870,9800,9870,9870,9800,9800,9870,9870,9870,9870,9800,9800,9800,9800,9870,9870,9870,10010,10500,11550,11690,8540,8540,8470,,,
1_9,103.75,103.4375,104.0625,102.5,103.75,105.3125,103.4375,102.1875,103.4375,103.4375,107.1875,104.0625,102.1875,104.0625,103.4375,104.375,104.0625,103.75,103.75,103.4375,103.4375,103.75,104.375,103.75,72.5,73.4375,73.125,,,
2_0,54,55,54,53,54,54,55,54,54,54,55,55,62,63,59,55,54,55,55,55,55,58,58,59,57,58,57,,,
2_1,43,45,44,43,44,44,45,44,44,44,45,45,49,49,46,45,44,46,46,45,45,49,49,51,49,50,48,,,
2_2,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,23,25,28,29,30,30,26,,,
2_3,0.5,0.499583,0.499861,0.499861,0.500278,0.499722,0.5,0.5,0.499861,0.5,0.5,0.5,0.5,0.500556,0.500139,0.499583,0.499861,0.499861,0.499444,0.499722,0.499722,0.501111,0.501111,0.500278,0.500139,0.500139,0.500556,,,
2_4,5.656356170665111,5.632907434812515,5.651666423494592,5.660003751797737,5.543802238572649,5.650624257456698,5.546928736686329,5.653229672551431,5.652708589532485,5.552139566875795,5.666256748025096,5.665735665006149,5.653750755570377,5.691268732934532,5.703253642370303,5.790795589553328,5.568814223482085,5.678241657460867,5.6865789857640126,5.688663317839798,5.678241657460867,5.687100068782959,5.847072555599558,5.863747212205849,5.703774725389249,5.716280717843968,5.716280717843968,,,
2_5,11270,11270,11340,11340,11340,11340,11480,11340,11480,11480,11340,11480,8470,9800,11690,11550,11550,11550,11550,11550,11550,12390,14210,14210,8330,8330,8120,,,
2_6,11270,11270,11270,11270,11340,11270,11270,11340,11340,11340,11270,11270,8330,9590,11690,11480,11550,11550,11480,11480,11480,12390,14210,14140,8260,8330,8120,,,
2_7,11270,11340,11340,11340,11340,11340,11480,11340,11340,11340,11480,11340,8470,9660,11760,11550,11550,11550,11550,11550,11550,12460,14210,14210,8330,8330,8120,,,
2_8,11270,11270,11480,11480,11480,11480,11480,11340,11480,11480,11340,11480,8540,10010,11830,11690,11690,11690,11550,11690,11690,12460,14420,14560,8330,8470,8120,,,
2_9,77.5,89.375,89.0625,93.4375,93.125,84.6875,89.6875,89.375,78.125,89.6875,86.25,86.25,84.375,89.6875,90,91.5625,90.625,82.8125,85,88.4375,90.9375,92.1875,90.625,89.6875,54.6875,57.8125,53.125,,,
3_0,68,68,68,68,68,68,68,68,68,68,68,68,77,80,75,68,68,68,68,68,68,70,69,69,71,71,70,,,
3_1,58,58,58,58,58,58,59,58,59,58,58,58,66,69,65,59,58,58,58,58,59,60,61,61,62,63,61,,,
3_2,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,23,25,28,29,30,30,26,,,
3_3,0.497639,0.497639,0.498194,0.498889,0.498333,0.497639,0.496528,0.497639,0.497639,0.497222,0.497222,0.496944,0.497222,0.496944,0.497361,0.497639,0.498611,0.498333,0.497917,0.497083,0.497083,0.497917,0.497917,0.496389,0.496944,0.496944,0.497361,,,
3_4,12.398128269795944,12.397607186776998,12.395522854701213,12.39448068866332,12.392396356587533,12.393959605644373,12.395522854701213,12.39604393772016,12.398649352814891,12.39708610375805,12.397607186776998,12.399170435833838,12.399170435833838,12.404381266023304,12.398649352814891,12.400212601871731,12.410113179231715,12.413760760364342,12.398649352814891,12.398128269795944,12.395522854701213,12.39708610375805,12.39708610375805,12.398649352814891,12.399170435833838,12.399691518852784,12.398649352814891,,,
3_5,11270,11270,11480,11340,11340,11480,11340,11340,11480,11480,11340,11480,8470,9450,11970,11550,11550,11550,11550,11550,11550,12390,14210,14210,8330,8330,8120,,,
3_6,11270,11270,11340,11270,11340,11270,11270,11340,11270,11270,11340,11270,8330,9590,11760,11480,11550,11550,11550,11550,11550,12390,14210,14210,8260,8330,8120,,,
3_7,11270,11340,11340,11340,11340,11340,11340,11340,11340,11480,11480,11340,8470,9590,11970,11550,11550,11550,11550,11550,11550,12460,14210,14210,8330,8470,8120,,,
3_8,11270,11270,11340,11480,11480,11340,11340,11340,11480,11480,11480,11480,8470,9800,11760,11690,11690,11690,11690,11690,11550,12460,14560,14140,8470,8470,8120,,,
3_9,99.0625,98.75,99.0625,98.4375,99.6875,99.375,98.4375,97.8125,99.0625,99.0625,98.75,99.0625,99.375,100.3125,99.0625,99.6875,100,99.0625,99.375,99.375,99.6875,98.75,99.0625,100,67.5,69.375,69.0625,,,
4_0,74,74,74,73,75,73,72,72,74,73,73,73,71,75,75,75,74,76,74,74,74,78,78,78,63,63,63,,,
4_1,48,49,48,48,49,48,48,48,49,48,49,48,48,49,49,49,49,50,49,49,50,53,53,53,48,49,48,,,
4_2,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,23,26,28,29,30,30,26,,,
4_3,0.47125,0.47125,0.471389,0.468611,0.468611,0.474306,0.459306,0.465556,0.466389,0.467639,0.465417,0.466111,0.468611,0.470972,0.470972,0.473333,0.470972,0.470278,0.469583,0.469306,0.468472,0.468472,0.469028,0.465278,0.463333,0.470417,0.474722,,,
4_4,41.21401921754174,41.59701523646748,41.59805740250537,41.59649415344853,41.59649415344853,41.59701523646748,41.74865039498093,41.72832815724201,41.72832815724201,41.75021364403777,41.19213373074599,41.74812931196198,41.173374742063906,41.75334014215145,41.7528190591325,41.17702232319654,41.7304124893178,41.75490339120829,41.75177689309461,41.6006628176001,41.036850991099904,41.59336765533485,41.59597307042958,41.79450570064823,41.776267794985095,41.795026783667176,41.795026783667176,,,
4_5,10500,10640,10500,10710,10500,11060,10850,10710,10710,10710,10850,10710,11060,10500,10500,10500,11060,10500,10850,10710,10850,11830,13090,13230,9170,9170,8750,,,
4_6,10500,10430,10500,10710,10640,10640,10710,10710,10710,10710,10710,10710,11060,10430,10430,10430,10850,10850,10640,10710,10850,11760,12670,13230,9170,9170,8890,,,
4_7,10500,10640,10500,10710,10500,10850,10850,10710,10710,10710,10850,10710,11130,10500,10500,10500,11060,10500,10710,10710,10850,11830,13090,13300,9170,9170,8890,,,
4_8,10500,10500,10500,10640,10500,10710,10710,10640,10710,10640,10850,10640,11060,10430,10430,10430,10850,10850,10640,10640,10710,11830,12810,13230,9170,9100,8750,,,
4_9,97.1875,96.5625,98.125,97.1875,97.8125,97.5,97.1875,96.25,97.5,97.5,97.8125,97.8125,96.5625,96.5625,99.6875,97.1875,97.5,97.1875,96.875,99.0625,96.875,99.0625,100.9375,99.0625,65.3125,63.75,65.625,,,
5_0,69,69,69,69,71,70,69,68,70,69,69,69,68,70,70,70,70,71,70,69,70,72,72,72,66,66,65,,,
5_1,51,51,51,51,53,52,51,51,51,51,51,51,50,52,52,52,52,53,52,51,52,54,55,55,54,54,52,,,
5_2,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,23,26,28,29,30,30,26,,,
5_3,0.500278,0.500139,0.500556,0.500556,0.500556,0.5,0.500139,0.500139,0.500417,0.500694,0.500833,0.50125,0.50125,0.500694,0.500556,0.500694,0.500833,0.500556,0.500139,0.500139,0.5,0.500278,0.501111,0.500972,0.5,0.499028,0.4975,,,
5_4,4.001396502490778,4.001396502490778,4.001396502490778,3.9993121704149908,3.9998332534339376,4.001396502490778,4.00087541947183,4.002959751547617,4.005044083623403,4.0055651666423495,4.0055651666423495,4.0055651666423495,4.004523000604457,4.004523000604457,4.007649498718136,4.022760906267587,4.009733830793922,4.006607332680243,4.038393396835984,4.007649498718136,4.006607332680243,4.0071284156991895,4.035266898722305,4.006607332680243,4.008691664756029,4.021197657210747,4.021197657210747,,,
5_5,10500,10640,10500,10710,10430,10710,10850,10710,10710,10710,10850,10850,10920,10500,10500,10500,11060,10710,10850,10850,10850,11830,13090,13230,9170,9170,8890,,,
5_6,10500,10430,10500,10640,10500,10640,10710,10710,10710,10710,10710,10640,11060,10430,10430,10500,10850,10430,10640,10710,10850,11760,12670,13230,9100,9170,8890,,,
5_7,10640,10640,10500,10710,10290,10850,10850,10710,10710,10710,10710,10920,11130,10500,10500,10500,11060,10290,10710,10850,10850,11830,13090,13300,9170,9170,8890,,,
5_8,10430,10430,10430,10710,10500,10710,10710,10640,10710,10640,10850,10640,11060,10430,10430,10500,10850,10430,10640,10710,10710,11830,12810,13230,9170,9100,8750,,,
5_9,84.375,84.375,84.375,83.75,84.375,84.0625,84.375,83.125,84.375,84.375,83.4375,83.75,83.75,84.6875,84.0625,84.0625,84.0625,84.375,84.0625,84.375,84.0625,84.0625,84.375,84.6875,55,55.3125,55,,,
6_0,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51,51,51,52,55,56,56,51,52,51,,,
6_1,43,43,43,44,44,44,43,43,43,43,44,44,44,44,44,44,44,44,44,44,45,48,49,50,46,47,46,,,
6_2,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,21,25,28,28,30,30,27,,,
6_3,0.500556,0.500278,0.500694,0.500556,0.500833,0.500694,0.500556,0.500694,0.500694,0.501111,0.501944,0.501944,0.501111,0.500972,0.500556,0.500417,0.500556,0.500417,0.500556,0.500694,0.500694,0.500694,0.500417,0.500139,0.500417,0.500833,0.501111,,,
6_4,3.4454009212747776,3.4454009212747776,3.4469641703316176,3.448006336369511,3.446443087312671,3.448006336369511,3.446443087312671,3.447485253350564,3.447485253350564,3.447485253350564,3.447485253350564,3.454259332596869,3.446443087312671,3.446443087312671,3.4469641703316176,3.448006336369511,3.446443087312671,3.4469641703316176,3.4469641703316176,3.4454009212747776,3.444879838255831,3.444879838255831,3.4459220042937244,3.455822581653709,3.4459220042937244,3.465202075994748,3.465202075994748,,,
6_5,9450,9380,9450,9450,9450,9450,9450,9380,9380,9450,9450,9450,9380,9660,9380,9450,9800,9450,9800,9450,9590,9870,10850,11480,9170,9170,8890,,,
6_6,9450,9450,9380,9450,9450,9450,9450,9450,9450,9450,9450,9380,9450,9800,9660,9450,9450,9450,9800,9450,9450,10010,10920,11480,9170,9170,8960,,,
6_7,9380,9310,9450,9450,9380,9450,9380,9450,9450,9450,9450,9380,9380,9660,9800,9450,9800,9590,9800,9450,9590,10080,10850,11480,9170,9170,8890,,,
6_8,9450,9380,9310,9380,9380,9380,9380,9380,9380,9380,9380,9380,9380,9800,9660,9380,9380,9380,9660,9450,9450,10080,10500,11480,9100,9170,8890,,,
6_9,72.5,72.8125,72.5,72.8125,72.8125,72.5,72.8125,71.875,72.8125,72.1875,72.1875,72.8125,72.1875,72.8125,72.8125,72.1875,73.75,72.5,72.5,72.8125,73.4375,72.8125,72.8125,72.5,52.1875,52.1875,52.1875,,,
7_0,73,74,73,73,74,74,74,73,74,74,74,74,74,74,75,75,75,74,74,75,75,80,81,81,74,74,73,,,
7_1,56,56,56,57,57,57,56,56,56,56,57,57,57,57,56,57,57,57,57,57,57,61,61,62,61,61,59,,,
7_2,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,21,25,28,28,30,30,27,,,
7_3,0.497222,0.497222,0.495833,0.495833,0.493472,0.494028,0.495139,0.49625,0.495833,0.494444,0.494028,0.493889,0.494306,0.494306,0.495139,0.493472,0.492222,0.494167,0.493056,0.492083,0.491389,0.494306,0.494861,0.493611,0.493056,0.491944,0.493194,,,
7_4,73.62590407903788,73.63319924130313,73.63788898847365,73.61079267148843,73.61235592054527,73.60975050545053,73.62069324884841,73.61131375450736,73.61287700356422,73.61339808658316,73.61965108281052,73.61965108281052,73.61339808658316,73.61965108281052,73.63163599224629,73.61444025262105,73.61912999979157,73.61235592054527,73.61496133564,73.61756675073472,73.61183483752632,73.61287700356422,73.61287700356422,73.6160035016779,73.61444025262105,73.61652458469685,73.6139191696021,,,
7_5,9450,9380,9380,9450,9380,9450,9450,9380,9450,9380,9450,9450,9380,9800,9590,9450,9450,9450,9800,9450,9590,9870,10920,11550,9100,9310,8890,,,
7_6,9450,9450,9380,9450,9450,9450,9450,9450,9450,9450,9450,9450,9450,9800,9380,9450,9590,9450,9800,9450,9660,10010,10850,11690,9170,9170,8890,,,
7_7,9380,9380,9380,9380,9450,9450,9380,9380,9450,9380,9450,9380,9380,9660,9660,9450,9450,9450,9660,9450,9450,10080,10850,11550,9170,9100,8960,,,
7_8,9450,9380,9310,9380,9380,9380,9380,9380,9380,9380,9380,9380,9380,9800,9310,9380,9450,9380,9660,9450,9590,10010,10850,11550,9100,9170,8750,,,
7_9,99.6875,100,100,100,100,100,100,99.375,100,100,100,100,99.0625,100,100,100.3125,100.3125,100,100.625,100.3125,100.625,100.9375,100.9375,101.5625,79.6875,79.0625,79.375,,,
8_0,59,59,59,59,58,58,58,58,58,58,58,58,58,59,58,59,58,58,58,59,60,60,60,60,50,50,49,,,
8_1,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,43,44,46,46,41,41,41,,,
8_2,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,18,20,25,27,28,30,30,28,,,
8_3,0.500694,0.500694,0.500556,0.501111,0.500833,0.500694,0.500694,0.500556,0.500417,0.500556,0.500556,0.501389,0.501389,0.501389,0.50125,0.501111,0.500972,0.500972,0.501111,0.501667,0.501111,0.501111,0.500139,0.500417,0.500417,0.499167,0.499028,,,
8_4,4.0602788836317405,4.059757800612794,4.057673468537008,4.058194551555954,4.0707005440106725,4.062363215707527,4.088938449673803,4.093628196844321,4.06340538174542,4.06340538174542,4.065489713821206,4.065489713821206,4.062363215707527,4.062363215707527,4.062363215707527,4.061321049669633,4.064447547783313,4.06340538174542,4.065489713821206,4.065489713821206,4.0602788836317405,4.062363215707527,4.0618421326885805,4.063926464764367,4.063926464764367,4.065489713821206,4.065489713821206,,,
8_5,11970,11970,11970,12390,12250,12250,12250,12250,12250,12250,12250,12250,12180,12250,12250,12250,12250,12250,12250,12250,12250,14980,16940,16800,16590,16590,16730,,,
8_6,11970,11970,11970,12250,12250,12250,12250,12180,12180,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,14770,16940,16940,16520,16590,16800,,,
8_7,11970,11830,11970,12250,12250,12250,12250,12250,12250,12250,12180,12250,12250,12250,12250,12250,12250,12250,12250,12180,12180,14980,16940,16940,16520,16590,16730,,,
8_8,11970,11970,11970,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,15050,16940,16940,16590,16730,16730,,,
8_9,84.0625,84.0625,83.75,83.75,83.75,84.0625,83.75,83.125,83.4375,83.4375,83.75,83.75,82.8125,83.125,83.4375,84.0625,83.125,83.4375,83.4375,83.75,84.0625,83.75,84.0625,83.75,55.625,55.9375,55.625,,,
9_0,53,53,53,53,52,53,52,52,52,53,52,53,53,53,54,53,53,53,53,53,54,54,55,56,48,48,47,,,
9_1,41,41,40,41,40,40,41,41,41,40,40,41,40,41,42,42,41,41,41,41,42,43,45,47,43,43,42,,,
9_2,16,17,17,17,17,18,17,17,17,17,17,17,17,17,17,17,17,18,17,18,20,25,27,28,30,30,28,,,
9_3,0.501389,0.501111,0.500972,0.500417,0.499028,0.499722,0.5,0.5,0.499861,0.499722,0.499861,0.5,0.500139,0.500139,0.499583,0.5,0.500556,0.500833,0.500972,0.501111,0.501111,0.501111,0.500139,0.500556,0.500694,0.500694,0.500694,,,
9_4,18.986701961356484,18.82881380661567,18.862163119828253,18.869458282093508,18.869458282093508,18.839235466994605,18.84288304812723,18.939283406632345,18.848093878316693,18.88248535756717,18.84444629718407,18.86424745190404,18.86424745190404,18.860078787752467,18.896554599078726,19.054963836838485,19.038810263251143,19.0528795047627,18.872063697188235,18.87883777643454,18.87883777643454,18.88821727077558,18.88821727077558,18.977843550034393,18.8929070179461,18.890822685870315,18.770452508493655,,,
9_5,11970,11970,11970,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,14980,16940,16800,16590,16590,16730,,,
9_6,11830,11970,11970,12390,12390,12180,12250,12180,12250,12250,12180,12250,12250,12250,12180,12250,12250,12250,12250,12250,12250,14770,16940,16940,16590,16590,16730,,,
9_7,11970,11830,11970,12250,12250,12180,12250,12180,12250,12250,12250,12250,12250,12180,12180,12180,12250,12250,12250,12250,12180,15050,16940,16940,16520,16590,16730,,,
9_8,11970,11970,11970,12390,12390,12250,12250,12250,12250,12250,12250,12250,12250,12250,12250,12390,12250,12250,12250,12250,12250,15050,16940,16940,16590,16730,16730,,,
9_9,80.625,83.75,86.5625,86.25,80.9375,85.9375,85,73.75,85,86.25,82.5,87.1875,86.25,89.6875,88.4375,81.25,86.25,82.5,87.5,86.5625,86.25,88.125,80.625,81.25,53.4375,59.375,50.625,,,
10_0,61,62,62,62,62,62,62,61,61,62,61,62,61,62,62,62,62,62,62,62,63,66,68,69,58,57,57,,,
10_1,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,49,49,50,50,49,51,54,56,56,49,49,49,,,
10_2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,19,23,25,26,29,29,29,,,
10_3,0.501528,0.502222,0.501944,0.50125,0.500833,0.500694,0.500417,0.500417,0.500556,0.500972,0.500556,0.500556,0.500694,0.500694,0.500278,0.500556,0.500833,0.501528,0.501528,0.501667,0.50125,0.50125,0.500972,0.501111,0.500972,0.500139,0.500139,,,
10_4,17.584988640390186,17.587072972465972,17.586551889447026,17.58550972340913,17.592804885674386,17.593325968693332,17.592804885674386,17.599578964920692,17.60010004793964,17.614169289451194,17.61208495737541,17.61208495737541,17.613127123413303,17.611042791337514,17.620422285678554,17.624069866811183,17.62146445171645,17.641265606436416,17.627196364924863,17.62771744794381,17.62459094983013,17.63449152719011,17.63449152719011,17.635533693228005,17.644913187569045,17.644913187569045,17.64387102153115,,,
10_5,8890,8890,8890,8890,8890,8890,8890,8890,8890,8890,8890,8960,8890,8960,8890,8960,8890,8890,8890,8960,8960,9450,9800,9870,8890,8680,8680,,,
10_6,8680,8890,8890,8890,8890,8890,8890,8890,8890,8890,8890,8960,8890,8890,8890,8960,8960,8680,8890,8960,8960,9450,9800,9800,8890,8680,8540,,,
10_7,8890,8750,8890,8750,8750,8890,8750,8750,8750,8890,8890,8890,8750,8890,8750,8750,8890,8750,8750,8960,8890,9380,9660,9800,8750,8680,8680,,,
10_8,8750,8890,8750,8890,8750,8750,8890,8890,8890,8890,8890,8890,8750,8890,8890,8890,8890,8680,8890,8890,8890,9380,9660,9590,8750,8680,8540,,,
10_9,86.25,85.9375,86.5625,85.9375,85.9375,86.5625,86.25,85,86.5625,86.25,86.25,86.5625,85,86.5625,85.9375,85.9375,85.9375,86.875,86.5625,86.25,86.25,86.875,87.1875,86.875,55.625,55.9375,55.9375,,,
11_0,76,77,76,76,76,77,77,76,77,77,77,77,77,77,77,77,77,77,78,77,78,82,84,86,75,75,76,,,
11_1,59,59,59,59,59,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,61,64,65,66,60,62,62,,,
11_2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,19,23,25,26,29,29,29,,,
11_3,0.496806,0.495972,0.496528,0.495417,0.495833,0.494861,0.494861,0.495,0.495,0.494306,0.4925,0.494444,0.494167,0.494306,0.49375,0.494028,0.494028,0.494861,0.495833,0.495,0.492917,0.493194,0.49375,0.495278,0.495278,0.495417,0.495278,,,
11_4,77.93526064572607,77.94099255893448,77.93734497780187,77.96965212497655,77.93526064572607,77.95193530233237,77.95193530233237,77.97590512120391,77.93630281176398,77.93317631365029,77.93369739666925,77.9342184796882,77.97173645705233,77.93109198157451,77.9477666381808,77.96600454384392,77.9342184796882,77.97486295516602,77.9399503928966,77.94151364195343,77.93578172874503,77.93630281176398,77.93526064572607,77.94099255893448,77.95818829855973,77.93942930987765,77.93838714383976,,,
