Date,Open,High,Low,Close,Adj Close,Volume,
1/2/80,107.940002,108.43,105.290001,105.760002,105.760002,40610000,
1/3/80,105.760002,106.080002,103.260002,105.220001,105.220001,50480000,
1/4/80,105.220001,107.080002,105.089996,106.519997,106.519997,39130000,
1/7/80,106.519997,107.800003,105.800003,106.809998,106.809998,44500000,
1/8/80,106.809998,109.290001,106.290001,108.949997,108.949997,53390000,
1/9/80,108.949997,111.089996,108.410004,109.050003,109.050003,65260000,
1/10/80,109.050003,110.860001,108.470001,109.889999,109.889999,55980000,
1/11/80,109.889999,111.160004,108.889999,109.919998,109.919998,52890000,
1/14/80,109.919998,111.440002,109.339996,110.379997,110.379997,52930000,
1/15/80,110.379997,111.93,109.449997,111.139999,111.139999,52320000,
1/16/80,111.139999,112.900002,110.379997,111.050003,111.050003,67700000,
1/17/80,111.050003,112.010002,109.809998,110.699997,110.699997,54170000,
1/18/80,110.699997,111.739998,109.879997,111.07,111.07,47150000,
1/21/80,111.07,112.900002,110.660004,112.099998,112.099998,48040000,
1/22/80,112.099998,113.099998,110.919998,111.510002,111.510002,50620000,
1/23/80,111.510002,113.93,110.93,113.440002,113.440002,50730000,
1/24/80,113.440002,115.269997,112.949997,113.699997,113.699997,59070000,
1/25/80,113.699997,114.449997,112.360001,113.610001,113.610001,47100000,
1/28/80,113.610001,115.650002,112.93,114.849998,114.849998,53620000,
1/29/80,114.849998,115.769997,113.029999,114.07,114.07,55480000,
1/30/80,114.07,115.849998,113.370003,115.199997,115.199997,51170000,
1/31/80,115.199997,117.169998,113.779999,114.160004,114.160004,65900000,
2/1/80,114.160004,115.540001,113.129997,115.120003,115.120003,46610000,
2/4/80,115.120003,116.010002,113.830002,114.370003,114.370003,43070000,
2/5/80,114.370003,115.25,112.150002,114.660004,114.660004,41880000,
2/6/80,114.660004,116.57,113.650002,115.720001,115.720001,51950000,
2/7/80,115.720001,117.870003,115.220001,116.279999,116.279999,57690000,
2/8/80,116.279999,118.660004,115.720001,117.949997,117.949997,57860000,
2/11/80,117.949997,119.050003,116.309998,117.120003,117.120003,58660000,
2/12/80,117.120003,118.410004,115.75,117.900002,117.900002,48090000,
2/13/80,117.900002,120.220001,117.57,118.440002,118.440002,65230000,
2/14/80,118.440002,119.300003,116.040001,116.720001,116.720001,50540000,
2/15/80,116.699997,116.699997,114.120003,115.410004,115.410004,46680000,
2/19/80,115.410004,115.669998,113.349998,114.599998,114.599998,39480000,
2/20/80,114.599998,117.18,114.059998,116.470001,116.470001,44340000,
2/21/80,116.470001,117.900002,114.440002,115.279999,115.279999,51530000,
2/22/80,115.279999,116.459999,113.43,115.040001,115.040001,48210000,
2/25/80,114.93,114.93,112.620003,113.330002,113.330002,39140000,
2/26/80,113.330002,114.760002,112.300003,113.980003,113.980003,40000000,
2/27/80,113.980003,115.120003,111.910004,112.379997,112.379997,46430000,
2/28/80,112.379997,113.699997,111.330002,112.349998,112.349998,40330000,
2/29/80,112.349998,114.120003,111.769997,113.660004,113.660004,38810000,
3/3/80,113.660004,114.339996,112.010002,112.5,112.5,38690000,
3/4/80,112.5,113.410004,110.830002,112.779999,112.779999,44310000,
3/5/80,112.779999,113.940002,110.580002,111.129997,111.129997,49240000,
3/6/80,111.129997,111.290001,107.849998,108.650002,108.650002,49610000,
3/7/80,108.650002,108.959999,105.989998,106.900002,106.900002,50950000,
3/10/80,106.900002,107.860001,104.919998,106.510002,106.510002,43750000,
3/11/80,106.510002,108.540001,106.18,107.779999,107.779999,41350000,
3/12/80,107.779999,108.400002,105.419998,106.870003,106.870003,37990000,
3/13/80,106.870003,107.550003,105.099998,105.620003,105.620003,33070000,
3/14/80,105.620003,106.489998,104.010002,105.43,105.43,35180000,
3/17/80,105.230003,105.230003,101.82,102.260002,102.260002,37020000,
3/18/80,102.260002,104.709999,101.139999,104.099998,104.099998,47340000,
3/19/80,104.099998,105.720001,103.349998,104.309998,104.309998,36520000,
3/20/80,104.309998,105.169998,102.519997,103.120003,103.120003,32580000,
3/21/80,103.120003,103.730003,101.550003,102.309998,102.309998,32220000,
3/24/80,102.18,102.18,98.879997,99.279999,99.279999,39230000,
3/25/80,99.279999,100.580002,97.889999,99.190002,99.190002,43790000,
3/26/80,99.190002,101.220001,98.099998,98.68,98.68,37370000,
3/27/80,98.68,99.580002,94.230003,98.220001,98.220001,63680000,
3/28/80,98.220001,101.43,97.720001,100.68,100.68,46720000,
3/31/80,100.68,102.650002,100.019997,102.089996,102.089996,35840000,
4/1/80,102.089996,103.279999,100.849998,102.18,102.18,32230000,
4/2/80,102.18,103.870003,101.449997,102.68,102.68,35210000,
4/3/80,102.68,103.339996,101.309998,102.150002,102.150002,27970000,
4/7/80,102.150002,102.269997,99.730003,100.190002,100.190002,29130000,
4/8/80,100.190002,101.879997,99.230003,101.199997,101.199997,31700000,
4/9/80,101.199997,103.599998,101.010002,103.110001,103.110001,33020000,
4/10/80,103.110001,105,102.809998,104.080002,104.080002,33940000,
4/11/80,104.080002,105.150002,103.199997,103.790001,103.790001,29960000,
4/14/80,103.790001,103.919998,102.080002,102.839996,102.839996,23060000,
4/15/80,102.839996,103.940002,101.849998,102.629997,102.629997,26670000,
4/16/80,102.629997,104.419998,101.129997,101.540001,101.540001,39730000,
4/17/80,101.540001,102.209999,100.120003,101.050003,101.050003,32770000,
4/18/80,101.050003,102.07,99.970001,100.550003,100.550003,26880000,
4/21/80,100.550003,101.260002,98.949997,99.800003,99.800003,27560000,
4/22/80,100.809998,104.019997,100.809998,103.43,103.43,47920000,
4/23/80,103.43,105.110001,102.809998,103.730003,103.730003,42620000,
4/24/80,103.730003,105.43,102.93,104.400002,104.400002,35790000,
4/25/80,104.400002,105.57,103.019997,105.160004,105.160004,28590000,
4/28/80,105.160004,106.790001,104.639999,105.639999,105.639999,30600000,
4/29/80,105.639999,106.699997,104.860001,105.860001,105.860001,27940000,
4/30/80,105.860001,106.720001,104.5,106.290001,106.290001,30850000,
5/1/80,106.290001,106.860001,104.720001,105.459999,105.459999,32480000,
5/2/80,105.459999,106.25,104.610001,105.580002,105.580002,28040000,
5/5/80,105.580002,106.830002,104.639999,106.379997,106.379997,34090000,
5/6/80,106.379997,107.830002,105.360001,106.25,106.25,40160000,
5/7/80,106.25,108.120003,105.830002,107.18,107.18,42600000,
5/8/80,107.18,108.019997,105.5,106.129997,106.129997,39280000,
5/9/80,106.129997,106.199997,104.18,104.720001,104.720001,30280000,
5/12/80,104.720001,105.480003,103.5,104.779999,104.779999,28220000,
5/13/80,104.779999,106.760002,104.440002,106.300003,106.300003,35460000,
5/14/80,106.300003,107.889999,106,106.849998,106.849998,40840000,
5/15/80,106.849998,107.989998,106.07,106.989998,106.989998,41120000,
5/16/80,106.989998,107.889999,106.25,107.349998,107.349998,31710000,
5/19/80,107.349998,108.43,106.510002,107.669998,107.669998,30970000,
5/20/80,107.669998,108.389999,106.75,107.620003,107.620003,31800000,
5/21/80,107.620003,108.309998,106.540001,107.720001,107.720001,34830000,
5/22/80,107.720001,109.730003,107.339996,109.010002,109.010002,41040000,
5/23/80,109.010002,111.370003,109.010002,110.620003,110.620003,45790000,
5/27/80,110.620003,112.300003,110.349998,111.400002,111.400002,40810000,
5/28/80,111.400002,112.720001,110.419998,112.059998,112.059998,38580000,
5/29/80,112.059998,112.639999,109.860001,110.269997,110.269997,42000000,
5/30/80,110.269997,111.550003,108.870003,111.239998,111.239998,34820000,
6/2/80,111.239998,112.150002,110.059998,110.760002,110.760002,32710000,
6/3/80,110.760002,111.629997,109.769997,110.510002,110.510002,33150000,
6/4/80,110.510002,113.449997,110.220001,112.610001,112.610001,44180000,
6/5/80,112.610001,114.379997,111.889999,112.779999,112.779999,49070000,
6/6/80,112.779999,114.010002,112.110001,113.199997,113.199997,37230000,
6/9/80,113.199997,114.510002,112.68,113.709999,113.709999,36820000,
6/10/80,113.709999,115.5,113.169998,114.660004,114.660004,42030000,
6/11/80,114.660004,116.639999,114.220001,116.019997,116.019997,43800000,
6/12/80,116.019997,117.010002,114.279999,115.519997,115.519997,47300000,
6/13/80,115.519997,116.940002,114.669998,115.809998,115.809998,41880000,
6/16/80,115.809998,116.800003,114.779999,116.089996,116.089996,36190000,
6/17/80,116.089996,117.160004,115.129997,116.029999,116.029999,41990000,
6/18/80,116.029999,116.839996,114.769997,116.260002,116.260002,41960000,
6/19/80,116.260002,116.809998,114.360001,114.660004,114.660004,38280000,
6/20/80,114.660004,114.900002,113.120003,114.059998,114.059998,36530000,
6/23/80,114.059998,115.279999,113.349998,114.510002,114.510002,34180000,
6/24/80,114.510002,115.75,113.760002,115.139999,115.139999,37730000,
6/25/80,115.139999,117.370003,115.07,116.720001,116.720001,46500000,
6/26/80,116.720001,117.980003,115.580002,116.190002,116.190002,45110000,
6/27/80,116.190002,116.93,115.059998,116,116,33110000,
6/30/80,116,116.040001,113.550003,114.239998,114.239998,29910000,
7/1/80,114.239998,115.449997,113.540001,114.93,114.93,34340000,
7/2/80,114.93,116.440002,114.360001,115.68,115.68,42950000,
7/3/80,115.68,117.800003,115.489998,117.459999,117.459999,47230000,
