Series ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247
0_0,107.940002,105.760002,105.220001,106.519997,106.809998,108.949997,109.050003,109.889999,109.91999799999999,110.379997,111.139999,111.050003,110.699997,111.07,112.099998,111.510002,113.440002,113.699997,113.610001,114.849998,114.07,115.199997,114.160004,115.120003,114.370003,114.660004,115.720001,116.279999,117.949997,117.120003,117.900002,118.440002,116.699997,115.410004,114.599998,116.470001,115.279999,114.93,113.33000200000001,113.980003,112.379997,112.349998,113.660004,112.5,112.779999,111.129997,108.650002,106.900002,106.510002,107.779999,106.870003,105.620003,105.230003,102.260002,104.099998,104.309998,103.120003,102.18,99.279999,99.190002,98.68,98.220001,100.68,102.089996,102.18,102.68,102.150002,100.190002,101.199997,103.110001,104.08000200000001,103.790001,102.839996,102.629997,101.540001,101.050003,100.550003,100.809998,103.43,103.730003,104.400002,105.160004,105.639999,105.860001,106.290001,105.459999,105.58000200000001,106.379997,106.25,107.18,106.129997,104.720001,104.779999,106.300003,106.849998,106.989998,107.349998,107.66999799999999,107.620003,107.720001,109.010002,110.620003,111.400002,112.059998,110.269997,111.239998,110.760002,110.510002,112.610001,112.779999,113.199997,113.709999,114.660004,116.019997,115.519997,115.809998,116.089996,116.029999,116.260002,114.660004,114.059998,114.510002,115.139999,116.720001,116.190002,116.0,114.239998,114.93,115.68,117.459999,118.290001,117.839996,117.980003,116.949997,117.839996,120.010002,119.300003,119.629997,121.440002,122.040001,122.510002,122.190002,121.93,121.790001,120.779999,121.43,122.400002,122.230003,121.66999799999999,121.209999,120.980003,120.739998,121.660004,123.300003,123.610001,124.779999,123.790001,123.279999,125.25,125.279999,123.389999,122.599998,123.769997,125.459999,126.019997,125.160004,124.839996,123.519997,122.08000200000001,122.379997,123.870003,126.120003,125.41999799999999,124.879997,123.309998,124.07,124.809998,125.660004,125.540001,125.66999799999999,126.739998,128.869995,128.399994,129.25,130.399994,129.429993,130.369995,128.169998,125.410004,123.540001,125.459999,127.129997,128.08999599999999,129.350006,131.729996,131.0,131.649994,131.03999299999998,130.28999299999998,132.029999,132.020004,133.699997,132.220001,131.520004,132.610001,131.83999599999999,131.919998,129.529999,129.850006,127.879997,128.050003,127.910004,126.290001,127.470001,130.770004,131.300003,128.91000400000001,129.179993,129.479996,131.330002,134.58999599999999,136.490005,137.149994,137.91000400000001,139.699997,139.059998,140.399994,139.110001,138.309998,139.330002,140.169998,140.520004,137.21000700000002,136.970001,136.71000700000002,136.369995,133.190002,130.610001,130.479996,128.259995,127.360001,129.229996,129.449997,130.600006,132.889999,133.0,133.699997,135.779999
0_1,108.43,106.08000200000001,107.08000200000001,107.800003,109.290001,111.089996,110.860001,111.160004,111.440002,111.93,112.900002,112.010002,111.739998,112.900002,113.099998,113.93,115.269997,114.449997,115.650002,115.769997,115.849998,117.16999799999999,115.540001,116.010002,115.25,116.57,117.870003,118.660004,119.050003,118.410004,120.220001,119.300003,116.699997,115.66999799999999,117.18,117.900002,116.459999,114.93,114.760002,115.120003,113.699997,114.120003,114.339996,113.410004,113.940002,111.290001,108.959999,107.860001,108.540001,108.400002,107.550003,106.489998,105.230003,104.709999,105.720001,105.16999799999999,103.730003,102.18,100.58000200000001,101.220001,99.58000200000001,101.43,102.650002,103.279999,103.870003,103.339996,102.269997,101.879997,103.599998,105.0,105.150002,103.91999799999999,103.940002,104.41999799999999,102.209999,102.07,101.260002,104.019997,105.110001,105.43,105.57,106.790001,106.699997,106.720001,106.860001,106.25,106.83000200000001,107.83000200000001,108.120003,108.019997,106.199997,105.480003,106.760002,107.889999,107.989998,107.889999,108.43,108.389999,108.309998,109.730003,111.370003,112.300003,112.720001,112.639999,111.550003,112.150002,111.629997,113.449997,114.379997,114.010002,114.510002,115.5,116.639999,117.010002,116.940002,116.800003,117.160004,116.839996,116.809998,114.900002,115.279999,115.75,117.370003,117.980003,116.93,116.040001,115.449997,116.440002,117.800003,118.849998,119.110001,119.519997,118.57,118.379997,120.370003,121.559998,120.870003,121.839996,123.190002,123.150002,123.900002,123.260002,122.980003,121.959999,122.019997,122.989998,123.93,122.339996,122.379997,121.629997,122.089996,122.010002,123.839996,125.230003,125.309998,125.779999,124.66999799999999,125.620003,126.610001,125.279999,124.0,124.269997,125.989998,127.779999,126.279999,126.290001,124.980003,123.910004,123.010002,124.360001,126.43,127.699997,126.120003,125.66999799999999,124.519997,125.949997,126.480003,126.75,126.349998,127.779999,129.679993,130.380005,130.330002,130.990005,132.169998,131.33999599999999,131.529999,128.169998,125.410004,126.089996,127.879997,128.820007,130.440002,132.380005,132.880005,132.779999,132.649994,132.149994,132.46000700000002,133.570007,134.350006,135.880005,133.070007,133.21000700000002,134.009995,132.970001,132.53999299999998,130.550003,129.940002,128.860001,129.91000400000001,128.71000700000002,128.240005,129.850006,135.649994,131.300003,130.080002,130.509995,132.300003,135.119995,137.21000700000002,138.96000700000002,138.46000700000002,140.919998,141.759995,141.240005,141.240005,139.360001,140.830002,141.96000700000002,141.53999299999998,140.66000400000001,138.110001,138.08999599999999,138.399994,136.369995,133.190002,131.919998,131.990005,128.729996,129.979996,131.330002,131.220001,133.58999599999999,135.899994,134.0,136.679993,137.479996
0_2,105.290001,103.260002,105.089996,105.800003,106.290001,108.410004,108.470001,108.889999,109.339996,109.449997,110.379997,109.809998,109.879997,110.660004,110.91999799999999,110.93,112.949997,112.360001,112.93,113.029999,113.370003,113.779999,113.129997,113.83000200000001,112.150002,113.650002,115.220001,115.720001,116.309998,115.75,117.57,116.040001,114.120003,113.349998,114.059998,114.440002,113.43,112.620003,112.300003,111.910004,111.33000200000001,111.769997,112.010002,110.83000200000001,110.58000200000001,107.849998,105.989998,104.91999799999999,106.18,105.41999799999999,105.099998,104.010002,101.82,101.139999,103.349998,102.519997,101.550003,98.879997,97.889999,98.099998,94.230003,97.720001,100.019997,100.849998,101.449997,101.309998,99.730003,99.230003,101.010002,102.809998,103.199997,102.08000200000001,101.849998,101.129997,100.120003,99.970001,98.949997,100.809998,102.809998,102.93,103.019997,104.639999,104.860001,104.5,104.720001,104.610001,104.639999,105.360001,105.83000200000001,105.5,104.18,103.5,104.440002,106.0,106.07,106.25,106.510002,106.75,106.540001,107.339996,109.010002,110.349998,110.41999799999999,109.860001,108.870003,110.059998,109.769997,110.220001,111.889999,112.110001,112.68,113.16999799999999,114.220001,114.279999,114.66999799999999,114.779999,115.129997,114.769997,114.360001,113.120003,113.349998,113.760002,115.07,115.58000200000001,115.059998,113.550003,113.540001,114.360001,115.489998,116.959999,117.07,117.099998,116.379997,116.290001,117.449997,118.849998,118.540001,119.43,120.879997,120.849998,121.379997,120.93,120.83000200000001,119.940002,119.779999,120.760002,121.160004,119.400002,120.08000200000001,119.41999799999999,119.959999,119.940002,121.660004,122.82,122.849998,123.290001,122.489998,122.68,124.57,122.82,121.970001,121.910004,123.610001,125.18,124.650002,124.010002,122.93,121.610001,121.059998,121.790001,123.870003,124.41999799999999,124.08000200000001,122.779999,121.940002,123.599998,124.190002,124.720001,124.089996,125.150002,126.370003,127.629997,127.57,127.889999,128.550003,128.449997,128.130005,125.290001,122.870003,123.540001,124.660004,126.040001,127.650002,129.350006,130.100006,130.279999,130.25,129.580002,129.369995,131.16000400000001,131.58999599999999,131.639999,130.220001,130.03999299999998,130.779999,130.619995,128.869995,128.03999299999998,127.339996,126.360001,127.07,125.779999,125.290001,127.230003,130.770004,128.229996,127.739998,128.190002,129.479996,131.330002,134.119995,135.119995,134.899994,137.91000400000001,138.059998,137.78999299999998,138.100006,136.360001,137.419998,138.600006,139.0,136.75,134.369995,135.429993,135.08999599999999,132.91000400000001,129.71000700000002,128.770004,127.940002,125.32,127.150002,128.639999,128.330002,130.220001,131.889999,131.800003,132.880005,134.009995
0_3,105.760002,105.220001,106.519997,106.809998,108.949997,109.050003,109.889999,109.91999799999999,110.379997,111.139999,111.050003,110.699997,111.07,112.099998,111.510002,113.440002,113.699997,113.610001,114.849998,114.07,115.199997,114.160004,115.120003,114.370003,114.660004,115.720001,116.279999,117.949997,117.120003,117.900002,118.440002,116.720001,115.410004,114.599998,116.470001,115.279999,115.040001,113.33000200000001,113.980003,112.379997,112.349998,113.660004,112.5,112.779999,111.129997,108.650002,106.900002,106.510002,107.779999,106.870003,105.620003,105.43,102.260002,104.099998,104.309998,103.120003,102.309998,99.279999,99.190002,98.68,98.220001,100.68,102.089996,102.18,102.68,102.150002,100.190002,101.199997,103.110001,104.08000200000001,103.790001,102.839996,102.629997,101.540001,101.050003,100.550003,99.800003,103.43,103.730003,104.400002,105.160004,105.639999,105.860001,106.290001,105.459999,105.58000200000001,106.379997,106.25,107.18,106.129997,104.720001,104.779999,106.300003,106.849998,106.989998,107.349998,107.66999799999999,107.620003,107.720001,109.010002,110.620003,111.400002,112.059998,110.269997,111.239998,110.760002,110.510002,112.610001,112.779999,113.199997,113.709999,114.660004,116.019997,115.519997,115.809998,116.089996,116.029999,116.260002,114.660004,114.059998,114.510002,115.139999,116.720001,116.190002,116.0,114.239998,114.93,115.68,117.459999,118.290001,117.839996,117.980003,116.949997,117.839996,120.010002,119.300003,119.629997,121.440002,122.040001,122.510002,122.190002,121.93,121.790001,120.779999,121.43,122.400002,122.230003,121.66999799999999,121.209999,120.980003,120.739998,121.550003,123.300003,123.610001,124.779999,123.790001,123.279999,125.25,125.720001,123.389999,122.599998,123.769997,125.459999,126.019997,125.160004,124.839996,123.519997,122.08000200000001,122.379997,123.739998,126.120003,125.41999799999999,124.879997,123.309998,124.07,124.809998,125.660004,125.540001,125.66999799999999,126.739998,128.869995,128.399994,129.25,130.399994,129.429993,130.369995,128.720001,126.349998,123.540001,125.459999,127.129997,128.08999599999999,129.330002,131.729996,131.0,131.649994,131.03999299999998,130.28999299999998,132.029999,132.020004,133.699997,132.220001,131.520004,132.610001,131.83999599999999,131.919998,129.529999,129.850006,127.879997,128.050003,127.910004,126.290001,127.470001,129.03999299999998,131.330002,128.91000400000001,129.179993,129.479996,131.259995,134.58999599999999,136.490005,137.149994,137.75,139.699997,139.059998,140.399994,139.110001,138.309998,139.330002,140.169998,140.520004,137.21000700000002,136.970001,136.71000700000002,136.479996,134.029999,130.610001,130.479996,128.259995,127.360001,129.229996,129.449997,130.600006,132.889999,133.0,133.699997,135.779999,135.300003
0_4,40610000.0,50480000.0,39130000.0,44500000.0,53390000.0,65260000.0,55980000.0,52890000.0,52930000.0,52320000.0,67700000.0,54170000.0,47150000.0,48040000.0,50620000.0,50730000.0,59070000.0,47100000.0,53620000.0,55480000.0,51170000.0,65900000.0,46610000.0,43070000.0,41880000.0,51950000.0,57690000.0,57860000.0,58660000.0,48090000.0,65230000.0,50540000.0,46680000.0,39480000.0,44340000.0,51530000.0,48210000.0,39140000.0,40000000.0,46430000.0,40330000.0,38810000.0,38690000.0,44310000.0,49240000.0,49610000.0,50950000.0,43750000.0,41350000.0,37990000.0,33070000.0,35180000.0,37020000.0,47340000.0,36520000.0,32580000.0,32220000.0,39230000.0,43790000.0,37370000.0,63680000.0,46720000.0,35840000.0,32230000.0,35210000.0,27970000.0,29130000.0,31700000.0,33020000.0,33940000.0,29960000.0,23060000.0,26670000.0,39730000.0,32770000.0,26880000.0,27560000.0,47920000.0,42620000.0,35790000.0,28590000.0,30600000.0,27940000.0,30850000.0,32480000.0,28040000.0,34090000.0,40160000.0,42600000.0,39280000.0,30280000.0,28220000.0,35460000.0,40840000.0,41120000.0,31710000.0,30970000.0,31800000.0,34830000.0,41040000.0,45790000.0,40810000.0,38580000.0,42000000.0,34820000.0,32710000.0,33150000.0,44180000.0,49070000.0,37230000.0,36820000.0,42030000.0,43800000.0,47300000.0,41880000.0,36190000.0,41990000.0,41960000.0,38280000.0,36530000.0,34180000.0,37730000.0,46500000.0,45110000.0,33110000.0,29910000.0,34340000.0,42950000.0,47230000.0,42540000.0,45830000.0,52010000.0,43730000.0,38310000.0,45500000.0,60920000.0,49140000.0,48850000.0,58040000.0,42750000.0,52230000.0,45890000.0,42420000.0,36250000.0,35330000.0,44840000.0,58060000.0,54610000.0,46440000.0,41550000.0,45510000.0,45050000.0,61820000.0,58860000.0,44690000.0,52050000.0,44350000.0,47700000.0,47780000.0,41890000.0,41930000.0,42560000.0,50770000.0,58210000.0,35400000.0,41700000.0,44000000.0,39890000.0,33510000.0,35290000.0,52370000.0,59030000.0,37990000.0,42050000.0,44460000.0,51430000.0,44770000.0,47180000.0,44630000.0,57290000.0,63990000.0,63390000.0,53780000.0,53140000.0,64390000.0,56860000.0,49510000.0,49460000.0,46410000.0,40290000.0,48720000.0,46160000.0,47510000.0,50130000.0,50310000.0,46580000.0,43980000.0,44040000.0,31360000.0,48830000.0,48260000.0,65450000.0,43920000.0,40910000.0,51220000.0,43060000.0,49200000.0,41050000.0,34430000.0,40300000.0,37200000.0,39060000.0,40110000.0,35820000.0,84080000.0,48890000.0,40070000.0,35720000.0,41520000.0,58500000.0,69340000.0,71630000.0,50260000.0,70380000.0,69230000.0,60180000.0,55950000.0,51120000.0,55840000.0,55340000.0,34240000.0,48180000.0,52340000.0,43430000.0,51170000.0,51990000.0,53390000.0,53220000.0,49860000.0,60220000.0,39530000.0,39700000.0,41630000.0,50800000.0,69570000.0,50770000.0,51950000.0,55260000.0
1_0,135.759995,136.33999599999999,137.970001,136.020004,135.080002,133.059998,133.479996,133.520004,133.28999299999998,133.470001,134.220001,134.770004,134.369995,131.649994,131.360001,130.259995,130.229996,129.83999599999999,131.119995,130.33999599999999,130.240005,129.479996,126.910004,128.46000700000002,128.58999599999999,129.630005,130.600006,129.270004,129.240005,128.240005,127.480003,126.980003,127.809998,128.479996,126.610001,126.58000200000001,127.349998,127.389999,128.520004,130.100006,131.270004,132.009995,130.559998,130.860001,129.929993,129.850006,131.119995,130.46000700000002,129.949997,133.190002,133.110001,134.679993,133.919998,134.220001,133.46000700000002,134.080002,135.690002,134.669998,137.110001,136.270004,134.649994,134.679993,136.0,136.570007,136.320007,135.490005,133.929993,133.91000400000001,134.309998,134.669998,134.509995,133.149994,132.679993,134.169998,134.699997,135.449997,134.229996,134.139999,133.940002,135.139999,135.479996,134.330002,133.050003,132.809998,131.779999,130.669998,130.320007,130.779999,131.669998,131.66000400000001,129.71000700000002,130.720001,130.550003,131.279999,132.169998,132.53999299999998,132.08999599999999,132.0,131.75,131.330002,132.770004,133.770004,133.449997,132.58999599999999,132.41000400000001,130.619995,130.71000700000002,130.96000700000002,132.220001,132.240005,131.970001,132.320007,133.75,133.490005,133.610001,132.149994,133.320007,131.639999,132.270004,131.949997,133.350006,132.66000400000001,132.809998,132.559998,131.889999,131.21000700000002,129.770004,128.639999,127.370003,128.240005,128.320007,129.300003,129.369995,129.639999,129.649994,130.229996,130.33999599999999,130.600006,128.720001,128.33999599999999,127.129997,127.400002,128.46000700000002,129.899994,129.139999,129.16000400000001,130.009995,130.919998,130.479996,131.179993,132.669998,132.639999,131.75,132.53999299999998,133.850006,133.399994,133.509995,132.490005,131.220001,130.110001,130.490005,130.690002,128.58999599999999,125.5,125.129997,124.959999,123.510002,124.08000200000001,122.790001,123.019997,123.489998,121.239998,120.07,117.980003,118.400002,120.139999,121.610001,120.660004,119.769997,118.870003,117.150002,116.260002,117.239998,116.68,115.650002,114.690002,112.769997,115.529999,115.940002,116.18,117.08000200000001,119.360001,119.510002,119.389999,121.309998,122.309998,121.449997,121.209999,120.779999,118.800003,119.709999,119.190002,118.980003,120.279999,120.099998,119.639999,118.599998,118.160004,119.290001,119.449997,119.059998,122.349998,124.199997,124.800003,124.739998,123.540001,122.66999799999999,123.290001,122.699997,122.91999799999999,123.190002,121.639999,120.239998,121.150002,120.260002,120.709999,121.709999,121.599998,123.510002,124.050003,125.089996,126.349998,126.099998,124.690002,125.120003,126.260002,125.190002,124.82,125.480003,125.709999,124.370003,122.779999,122.989998,122.41999799999999,123.120003,124.0,123.339996,122.879997
1_1,137.100006,139.240005,140.320007,136.020004,136.100006,134.759995,135.880005,134.270004,135.25,135.149994,135.91000400000001,135.860001,135.300003,132.479996,132.080002,131.33999599999999,131.179993,131.949997,132.41000400000001,131.779999,131.649994,129.479996,128.919998,129.71000700000002,130.490005,131.809998,131.389999,130.190002,129.919998,128.949997,128.33999599999999,128.75,129.25,129.070007,127.650002,128.279999,128.759995,129.21000700000002,130.929993,132.020004,132.96000700000002,132.720001,132.070007,131.820007,131.179993,131.940002,132.639999,131.199997,133.559998,135.529999,135.350006,136.08999599999999,135.66000400000001,135.369995,135.28999299999998,136.5,137.399994,137.320007,138.380005,136.889999,135.869995,137.149994,137.559998,137.720001,137.03999299999998,135.610001,135.270004,135.33999599999999,135.800003,136.229996,134.91000400000001,134.029999,134.78999299999998,135.820007,136.25,136.380005,135.53999299999998,135.899994,136.0,136.559998,136.08999599999999,134.690002,134.440002,134.169998,131.779999,131.330002,132.380005,132.41000400000001,132.690002,132.229996,131.169998,131.96000700000002,132.149994,133.21000700000002,133.649994,133.220001,133.029999,133.029999,132.649994,133.300003,134.649994,134.919998,134.360001,134.619995,132.96000700000002,131.369995,132.21000700000002,132.979996,133.679993,133.300003,133.490005,134.309998,135.08999599999999,135.669998,134.0,133.979996,133.979996,133.270004,133.53999299999998,133.979996,133.899994,134.300003,133.75,133.5,132.669998,131.690002,130.479996,128.990005,129.600006,129.570007,130.080002,130.429993,130.820007,130.779999,131.58999599999999,131.41000400000001,131.600006,130.600006,129.600006,129.720001,128.259995,129.309998,130.610001,130.440002,130.08999599999999,130.679993,131.779999,131.740005,131.66000400000001,133.389999,134.03999299999998,133.03999299999998,133.320007,134.630005,135.179993,134.580002,134.330002,133.020004,131.729996,131.199997,131.740005,131.059998,128.58999599999999,125.769997,126.16999799999999,125.309998,125.089996,125.58000200000001,123.91999799999999,124.58000200000001,124.160004,121.540001,120.120003,119.489998,122.18,122.129997,122.0,121.769997,120.0,119.870003,117.690002,118.07,118.190002,116.68,117.470001,114.690002,115.83000200000001,117.75,117.050003,117.660004,120.160004,121.540001,121.389999,121.870003,123.08000200000001,123.279999,122.370003,122.370003,120.970001,120.58000200000001,120.459999,119.849998,121.290001,121.940002,120.779999,119.91999799999999,119.0,120.43,120.959999,120.370003,122.529999,125.139999,125.519997,126.0,125.800003,124.029999,124.129997,124.690002,123.82,124.709999,123.610001,121.639999,121.779999,121.660004,121.66999799999999,122.589996,123.089996,124.040001,125.290001,125.709999,126.970001,127.300003,126.449997,125.839996,127.32,126.910004,125.75,126.08000200000001,126.540001,126.260002,124.370003,123.779999,123.660004,123.790001,124.870003,124.709999,124.16999799999999,123.589996
1_2,134.610001,135.860001,135.779999,132.300003,131.96000700000002,131.71000700000002,132.78999299999998,131.690002,132.649994,132.440002,133.350006,133.509995,131.259995,129.929993,129.229996,129.0,128.570007,129.320007,129.820007,128.970001,128.610001,125.82,125.889999,127.290001,127.989998,129.029999,128.610001,128.050003,127.599998,126.779999,126.040001,126.43,127.089996,125.980003,124.660004,125.690002,126.489998,125.769997,128.020004,129.350006,130.149994,129.66000400000001,129.570007,129.25,128.559998,129.389999,129.720001,128.720001,129.759995,132.389999,132.100006,132.800003,132.800003,132.369995,132.5,133.41000400000001,134.100006,133.919998,135.28999299999998,133.91000400000001,133.509995,134.679993,135.03999299999998,135.16000400000001,134.669998,132.91000400000001,132.96000700000002,133.259995,132.58999599999999,133.179993,132.240005,131.580002,132.199997,133.429993,133.190002,133.490005,132.720001,132.899994,132.880005,134.130005,133.100006,131.820007,131.850006,131.429993,129.610001,128.929993,130.08999599999999,130.21000700000002,130.83999599999999,129.110001,128.779999,129.529999,129.91000400000001,130.75,131.490005,130.779999,130.58999599999999,130.699997,130.419998,130.639999,131.850006,132.0,131.520004,131.490005,129.83999599999999,128.770004,129.720001,130.169998,131.28999299999998,130.940002,131.03999299999998,131.580002,132.399994,132.779999,131.28999299999998,130.809998,130.940002,130.490005,131.100006,131.16000400000001,131.649994,131.779999,131.71000700000002,131.199997,130.309998,129.03999299999998,127.839996,126.440002,126.389999,126.949997,127.57,128.380005,128.78999299999998,128.139999,128.889999,129.300003,129.490005,127.980003,127.08000200000001,126.699997,125.959999,127.110001,128.429993,128.279999,128.369995,128.559998,129.600006,129.419998,129.429993,130.759995,131.740005,130.96000700000002,130.830002,132.08999599999999,132.729996,132.529999,131.91000400000001,130.75,129.100006,128.990005,129.83999599999999,128.699997,125.019997,123.0,123.989998,122.900002,122.849998,122.290001,121.589996,122.540001,120.82,119.239998,116.849998,116.870003,118.33000200000001,119.290001,119.66999799999999,119.269997,117.889999,116.629997,115.18,115.040001,115.93,113.599998,114.32,111.639999,110.190002,114.75,114.599998,115.0,117.07,118.610001,118.08000200000001,119.089996,120.230003,120.629997,120.16999799999999,119.959999,118.379997,118.010002,118.379997,117.58000200000001,118.779999,119.349998,118.480003,117.779999,116.809998,117.800003,118.389999,118.139999,118.43,122.349998,123.139999,123.639999,122.980003,121.849998,121.589996,122.010002,121.510002,122.190002,121.059998,119.129997,119.5,119.610001,119.41999799999999,120.129997,120.760002,121.220001,123.07,123.629997,124.18,124.839996,124.18,123.629997,125.120003,124.66999799999999,123.519997,124.089996,124.599998,124.32,122.16999799999999,121.83000200000001,121.730003,121.82,122.559998,122.66999799999999,122.190002,121.58000200000001
1_3,136.33999599999999,137.970001,138.119995,135.080002,133.059998,133.479996,133.520004,133.28999299999998,133.470001,134.220001,134.770004,134.369995,131.649994,131.360001,130.259995,130.229996,129.83999599999999,131.119995,130.33999599999999,130.240005,129.550003,126.910004,128.46000700000002,128.58999599999999,129.630005,130.600006,129.270004,129.240005,128.240005,127.480003,126.980003,127.809998,128.479996,126.610001,126.58000200000001,127.349998,127.389999,128.520004,130.100006,131.270004,132.009995,130.559998,130.860001,129.929993,129.850006,131.119995,130.46000700000002,129.949997,133.190002,133.110001,134.679993,133.919998,134.220001,133.46000700000002,134.080002,135.690002,134.669998,137.110001,136.270004,134.649994,134.279999,136.0,136.570007,136.320007,135.490005,133.929993,133.91000400000001,134.309998,134.669998,134.509995,133.149994,132.679993,134.169998,134.699997,135.449997,134.229996,134.139999,133.940002,135.139999,135.479996,134.330002,133.050003,132.809998,132.720001,130.669998,130.320007,130.779999,131.669998,131.66000400000001,129.71000700000002,130.720001,130.550003,131.279999,132.169998,132.53999299999998,132.08999599999999,132.0,131.75,131.330002,132.770004,133.770004,133.449997,132.58999599999999,132.41000400000001,130.619995,130.71000700000002,130.96000700000002,132.220001,132.240005,131.970001,132.320007,133.75,133.490005,133.610001,132.149994,133.320007,131.639999,132.270004,131.949997,133.350006,132.66000400000001,132.809998,132.559998,131.889999,131.21000700000002,129.770004,128.639999,127.370003,128.240005,128.320007,129.300003,129.369995,129.639999,129.649994,130.229996,130.33999599999999,130.759995,128.720001,128.33999599999999,127.129997,127.400002,128.46000700000002,129.899994,129.139999,129.16000400000001,130.009995,130.919998,130.479996,131.179993,132.669998,132.639999,131.75,132.53999299999998,133.850006,133.399994,133.509995,132.490005,131.220001,130.110001,130.490005,130.690002,129.229996,125.5,125.129997,124.959999,123.510002,124.08000200000001,122.790001,123.019997,123.489998,121.239998,120.07,117.980003,118.400002,120.139999,121.610001,120.660004,119.769997,118.870003,117.150002,116.260002,117.239998,116.68,115.650002,115.010002,112.769997,115.529999,115.940002,116.18,117.08000200000001,119.360001,119.510002,119.389999,121.309998,122.309998,121.449997,121.209999,120.779999,118.800003,119.709999,119.190002,118.980003,120.279999,120.099998,119.639999,118.599998,118.160004,119.290001,119.449997,119.059998,121.889999,124.199997,124.800003,124.739998,123.540001,122.66999799999999,123.290001,122.699997,122.91999799999999,123.190002,121.66999799999999,120.239998,121.150002,120.260002,120.709999,121.709999,121.599998,123.510002,124.050003,125.089996,126.349998,126.099998,124.690002,125.120003,126.260002,125.190002,124.82,125.480003,125.709999,124.93,122.779999,122.989998,122.41999799999999,123.120003,124.0,123.339996,122.879997,122.309998
1_4,28870000.0,58710000.0,67400000.0,92890000.0,55350000.0,50190000.0,48760000.0,40890000.0,41390000.0,39640000.0,43260000.0,36470000.0,41750000.0,39190000.0,39880000.0,37220000.0,35380000.0,42260000.0,36690000.0,38170000.0,41160000.0,44070000.0,45950000.0,45520000.0,45320000.0,45820000.0,38330000.0,40820000.0,37770000.0,34700000.0,33360000.0,37940000.0,40410000.0,41630000.0,41900000.0,39590000.0,43960000.0,45710000.0,60300000.0,53210000.0,47710000.0,48730000.0,47260000.0,45380000.0,43940000.0,46180000.0,56610000.0,47390000.0,54640000.0,68290000.0,49940000.0,65920000.0,55740000.0,62440000.0,61980000.0,57880000.0,66400000.0,56320000.0,60370000.0,46930000.0,33500000.0,50980000.0,54880000.0,52570000.0,48680000.0,43190000.0,44540000.0,48000000.0,59520000.0,58130000.0,49860000.0,48350000.0,56040000.0,52950000.0,51020000.0,60280000.0,60660000.0,64200000.0,60000000.0,51080000.0,58210000.0,53340000.0,47970000.0,48360000.0,40430000.0,49000000.0,47100000.0,42590000.0,41860000.0,37640000.0,40440000.0,42600000.0,42750000.0,45460000.0,42510000.0,42220000.0,42370000.0,46820000.0,40710000.0,42760000.0,58730000.0,59500000.0,51580000.0,62170000.0,53930000.0,54700000.0,48940000.0,47180000.0,41580000.0,44600000.0,53200000.0,59530000.0,60790000.0,63350000.0,57780000.0,55470000.0,48400000.0,46430000.0,41790000.0,51840000.0,46650000.0,43920000.0,39240000.0,37930000.0,41550000.0,49080000.0,45100000.0,44590000.0,53560000.0,46000000.0,45510000.0,39950000.0,38100000.0,45230000.0,48950000.0,39010000.0,42780000.0,40240000.0,47280000.0,47500000.0,41790000.0,38880000.0,39610000.0,38160000.0,37610000.0,41560000.0,43480000.0,39650000.0,39460000.0,54290000.0,52070000.0,38370000.0,38370000.0,52600000.0,53650000.0,42460000.0,42580000.0,40840000.0,47270000.0,39390000.0,38270000.0,37670000.0,46750000.0,54600000.0,39980000.0,43900000.0,38020000.0,40360000.0,45110000.0,37570000.0,41730000.0,42760000.0,47340000.0,43910000.0,47430000.0,42170000.0,34040000.0,38580000.0,43660000.0,48300000.0,47350000.0,44570000.0,46830000.0,52700000.0,48880000.0,54390000.0,61320000.0,49800000.0,40700000.0,41600000.0,54540000.0,51290000.0,45460000.0,50030000.0,47090000.0,50060000.0,30030000.0,43360000.0,40260000.0,42830000.0,37800000.0,41590000.0,51530000.0,48490000.0,40630000.0,41990000.0,38210000.0,53030000.0,48100000.0,40070000.0,59570000.0,65100000.0,54620000.0,53450000.0,50860000.0,43270000.0,48310000.0,53940000.0,41920000.0,55720000.0,45550000.0,43740000.0,43190000.0,49980000.0,48890000.0,52010000.0,45250000.0,53200000.0,58570000.0,32770000.0,47580000.0,53980000.0,44510000.0,43770000.0,55040000.0,45720000.0,45140000.0,44810000.0,47020000.0,45850000.0,44740000.0,44130000.0,42770000.0,47230000.0,50940000.0,41290000.0,48320000.0,42910000.0
