Series ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1_0,100.925,103.5875,107.33749999999999,111.26249999999999,116.1925,121.0975,124.34500000000001,128.5225,132.39,135.69,144.53,153.70499999999998,165.11,181.17,200.89999999999998,216.8175,224.075,222.365,218.32500000000002,219.4825,223.9975,223.91750000000002,230.395,235.8075,242.905,247.9125,252.44
0_0,101.63000000000001,105.7875,110.775,116.0775,120.125,124.78500000000001,128.5625,133.0525,137.95499999999998,142.045,145.8925,150.61,157.0275,164.6625,176.835,192.255,200.35750000000002,195.60000000000002,190.70999999999998,180.59,171.75,175.945,180.86,185.2675,191.07,198.17000000000002,207.45
3_0,101.14500000000001,104.2325,109.9075,116.89000000000001,121.655,125.2425,128.16,130.975,135.465,139.51000000000002,144.48250000000002,150.14249999999998,158.1525,168.75,180.1675,190.385,194.1125,188.28,185.29250000000002,178.4625,176.59,181.1475,186.1925,189.135,193.88000000000002,200.04250000000002,208.4925
2_0,100.2825,102.4475,106.19500000000001,112.84750000000001,119.44500000000001,125.03999999999999,129.5075,135.9175,143.9675,152.35500000000002,161.725,171.3425,185.57,212.42499999999998,276.45,317.3075,307.435,251.8625,203.70999999999998,182.73250000000002,165.1025,187.34500000000003,217.98499999999999,233.7275,249.925,268.0975,290.54
4_0,99.25750000000001,97.24000000000001,91.69999999999999,87.7625,85.5575,84.7575,86.74,94.46500000000002,104.1,117.13750000000002,132.675,151.8025,178.1525,220.595,269.5425,281.1,256.40000000000003,189.9475,164.815,163.9725,153.29000000000002,161.3475,191.25,210.72,225.9725,242.0775,261.33750000000003
5_0,101.04,109.16,121.63499999999999,136.5,145.02,152.92249999999999,160.3975,170.59,187.38250000000002,208.45499999999998,227.255,236.3375,242.04500000000002,251.23250000000002,263.77250000000004,272.975,274.075,262.8475,262.025,258.495,250.73000000000002,264.0375,288.5425,311.7475,348.0425,382.8375,419.745
6_0,97.545,95.62,91.78,91.6075,90.735,90.9875,92.1975,96.61250000000001,104.79750000000001,114.25,125.3825,139.3225,154.29000000000002,171.43,188.815,195.7925,195.7425,185.04000000000002,174.6725,168.33499999999998,163.055,159.7825,161.35250000000002,162.0775,163.575,164.8125,168.8625
8_0,98.74499999999999,99.24,94.4675,95.4925,91.3325,94.115,92.38,101.82,112.515,129.2225,149.70499999999998,178.70000000000002,205.5075,252.58999999999997,309.635,326.21999999999997,336.2625,321.265,309.55,318.33750000000003,325.1275,351.90999999999997,395.3175,425.525,456.23499999999996,471.405,513.25
7_0,99.935,99.9325,98.86500000000001,98.985,99.505,99.98,101.0075,104.4575,110.3875,117.585,127.1825,139.32999999999998,153.58249999999998,174.7775,199.16500000000002,217.42000000000002,218.375,205.515,196.60750000000002,186.87,175.015,173.82999999999998,180.7975,180.565,186.455,192.39000000000001,195.28249999999997
9_0,100.13,101.53,103.85,106.94500000000001,109.4925,111.8425,114.53,119.3875,125.83000000000001,135.2525,149.135,166.275,187.88250000000002,221.94,278.8175,310.08000000000004,294.51500000000004,228.895,188.9925,178.39000000000001,167.7725,179.06750000000002,199.44,215.95000000000002,235.895,258.6375,281.44500000000005
