Series ID,Q1 1991,Q2 1991,Q3 1991,Q4 1991,Q1 1992,Q2 1992,Q3 1992,Q4 1992,Q1 1993,Q2 1993,Q3 1993,Q4 1993,Q1 1994,Q2 1994,Q3 1994,Q4 1994,Q1 1995,Q2 1995,Q3 1995,Q4 1995,Q1 1996,Q2 1996,Q3 1996,Q4 1996,Q1 1997,Q2 1997,Q3 1997,Q4 1997,Q1 1998,Q2 1998,Q3 1998,Q4 1998,Q1 1999,Q2 1999,Q3 1999,Q4 1999,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019
0_0,100.00,101.43,102.16,102.93,104.49,104.39,106.32,107.95,109.05,109.70,111.44,112.91,114.21,115.91,116.61,117.58,118.54,119.32,120.95,121.69,122.89,124.59,125.17,126.49,127.75,127.74,129.18,129.58,130.76,132.23,133.69,135.53,136.38,137.44,138.33,139.67,141.11,141.79,142.31,142.97,144.32,145.53,146.31,147.41,148.59,149.76,150.70,153.39,154.33,155.89,158.70,159.19,160.48,162.93,166.51,168.73,171.88,174.50,177.99,182.97,187.54,191.06,193.78,196.64,198.74,201.13,200.71,200.85,199.42,197.32,194.18,191.48,192.64,191.40,186.25,192.55,184.72,181.39,180.16,176.09,171.80,170.87,172.26,172.07,174.64,177.31,173.88,177.95,178.87,180.83,181.60,182.14,183.90,183.40,185.42,188.35,187.72,191.45,192.37,192.74,194.67,197.05,199.43,201.53,204.57,205.62,207.92,211.69,213.12,218.12,221.26,222.31,229.60,229.76,233.51,236.90
0_1,100.25,101.18,102.27,102.44,103.49,104.04,104.38,104.83,106.47,107.22,110.83,110.71,110.85,112.02,111.47,114.29,115.66,116.93,117.89,120.66,120.22,119.90,123.61,122.95,123.90,124.67,125.86,125.88,128.16,128.97,131.08,132.13,132.64,133.41,131.38,133.62,135.17,136.75,137.22,140.51,143.35,145.19,149.07,149.31,151.96,156.20,157.35,160.67,163.28,165.43,171.06,175.81,177.08,183.52,188.27,193.38,197.54,204.37,208.31,212.71,216.22,218.40,219.94,222.96,226.30,224.48,222.56,219.39,223.67,221.35,225.05,225.87,215.81,215.54,216.08,215.29,220.10,222.25,220.29,225.08,222.69,224.60,223.62,217.72,224.37,226.61,226.97,229.49,229.84,230.39,231.86,231.14,234.22,237.01,240.86,240.72,241.47,241.52,247.91,245.18,249.57,249.16,247.74,251.21,247.03,255.78,255.74,256.04,256.11,255.23,260.75,266.36,266.78,268.48,269.32
0_2,100.00,100.31,99.44,101.38,102.29,101.44,102.86,103.20,104.22,105.33,106.67,108.56,109.80,112.17,113.62,115.80,117.12,118.41,120.76,121.49,123.51,124.64,125.79,126.22,127.49,128.96,130.09,131.49,132.99,135.01,137.00,138.67,140.89,142.72,145.20,147.06,149.49,151.37,152.94,155.62,157.98,160.48,162.64,165.80,166.86,169.69,172.36,176.46,179.90,182.79,186.65,192.94,199.13,205.67,216.07,228.83,244.88,268.02,289.12,303.78,315.27,318.89,314.47,320.60,318.48,313.79,306.55,290.92,277.46,261.57,242.21,226.21,215.84,202.23,200.10,196.67,191.48,187.01,179.93,172.51,167.80,161.83,163.00,167.78,173.47,183.37,193.83,198.71,206.42,216.25,221.17,228.10,230.30,232.21,234.79,237.61,243.35,246.41,252.74,257.20,261.34,266.60,268.44,276.01,280.54,287.98,294.43,299.21,307.71,311.19,316.70,324.37,329.36,334.07,341.74,347.08
0_3,100.00,100.17,101.49,102.92,102.83,103.74,104.74,105.62,107.49,109.29,111.28,111.57,115.25,116.17,116.80,119.34,119.14,121.02,122.90,123.56,124.36,125.35,125.16,126.10,127.37,127.71,128.35,129.21,129.55,129.37,132.31,132.67,134.05,134.93,135.98,136.90,137.40,139.55,139.86,141.23,142.98,143.39,145.32,146.24,147.44,149.68,150.82,152.63,154.76,156.74,159.81,161.30,164.88,167.44,169.87,172.81,175.75,178.06,181.59,185.27,187.77,189.89,191.08,192.80,193.00,194.84,194.64,193.97,190.43,188.93,188.60,185.16,184.82,183.53,184.12,188.70,177.86,182.48,177.62,175.89,177.99,173.30,175.70,179.37,177.80,182.58,181.84,182.37,186.62,186.25,186.74,185.16,186.63,188.09,188.78,193.04,187.80,193.88,196.51,197.33,198.23,199.26,201.24,201.44,204.48,206.47,209.24,213.78,213.43,215.16,218.22,222.39,224.46,227.28,229.18,230.62
0_4,100.00,99.16,98.76,99.11,99.04,97.50,96.93,95.49,93.63,92.50,90.76,89.91,88.83,88.08,87.47,86.67,86.14,85.54,85.50,85.05,84.99,84.41,84.55,85.08,84.61,86.22,87.31,88.82,90.84,93.51,95.59,97.92,100.42,102.75,105.13,108.10,111.52,114.90,118.66,123.47,127.79,131.22,134.00,137.69,142.23,148.42,155.21,161.35,167.48,173.45,180.46,191.22,201.19,213.65,227.78,239.76,252.20,265.02,277.14,283.81,286.80,284.71,278.99,273.90,272.97,266.68,251.97,233.98,213.96,193.97,181.08,170.78,164.45,162.27,165.10,167.44,167.10,166.28,162.85,159.66,155.84,152.67,152.21,152.44,154.32,158.72,162.51,169.84,178.63,188.50,196.81,201.06,205.36,208.91,212.44,216.17,220.52,223.59,227.42,232.36,236.35,239.93,243.88,248.15,253.17,258.79,264.10,269.29,275.53,277.50,280.46,283.45,285.06,289.69,292.45,295.46
0_5,100.00,100.12,101.12,102.92,105.41,107.87,109.75,113.61,115.66,119.33,123.65,127.90,131.95,135.67,138.20,140.18,141.96,143.67,146.22,148.23,150.09,152.06,153.50,156.04,157.51,159.36,161.22,163.50,166.09,168.71,171.67,175.89,179.75,184.62,190.56,194.60,200.13,205.34,211.30,217.05,223.55,226.73,228.46,230.28,233.86,234.74,237.21,239.54,240.53,240.82,242.50,244.33,246.58,250.66,253.22,254.47,259.18,261.19,264.83,269.89,271.28,271.88,272.74,276.00,275.52,275.55,274.65,270.58,266.91,265.99,261.90,256.59,261.37,261.76,262.64,262.33,263.13,259.21,254.54,257.10,251.43,248.31,251.84,251.34,252.64,261.87,267.85,273.79,278.15,286.60,292.02,297.40,303.01,307.02,313.46,323.50,337.81,342.07,353.09,359.20,368.54,376.76,388.11,397.94,406.03,414.88,422.62,435.45,449.10,453.10,460.91,465.34,471.65,478.69,485.60,495.14
0_6,100.00,98.01,96.31,95.86,97.43,95.42,94.32,95.31,92.62,91.69,91.45,91.36,91.49,91.81,91.71,91.42,90.90,90.44,90.83,90.77,91.11,91.42,90.79,90.63,91.18,91.92,92.42,93.27,94.02,95.56,97.40,99.47,101.82,103.68,105.72,107.97,110.64,113.57,115.06,117.73,120.74,123.65,127.22,129.92,133.00,137.22,141.17,145.90,149.58,151.96,155.87,159.75,163.60,168.85,174.57,178.70,183.15,187.14,190.68,194.29,196.84,197.06,194.39,194.88,197.64,195.91,195.94,193.48,190.08,186.86,183.02,180.20,178.36,174.58,173.48,172.27,170.40,169.62,167.43,165.89,164.75,164.54,161.84,161.09,159.61,159.13,160.06,160.33,160.11,161.41,162.21,161.68,163.44,161.23,161.97,161.67,163.14,163.76,163.50,163.90,163.98,164.60,164.51,166.16,166.42,167.81,169.91,171.31,172.42,171.77,173.64,174.32,175.88,176.82,177.30,177.68
0_7,100.00,99.75,99.64,100.35,100.65,99.73,99.13,100.22,99.06,99.48,98.80,98.12,96.99,99.89,99.38,99.68,100.00,99.39,99.33,99.30,99.61,99.69,100.30,100.32,100.26,100.87,101.87,101.03,102.85,103.55,105.54,105.89,107.96,109.77,111.13,112.69,114.37,116.27,118.26,121.44,123.87,125.85,127.68,131.33,133.36,137.49,141.77,144.70,147.79,151.74,154.73,160.07,165.58,169.97,179.40,184.16,189.37,197.03,201.71,208.55,214.82,214.83,218.06,221.97,217.45,219.25,220.97,215.83,212.99,207.94,203.60,197.53,200.21,203.86,192.62,189.74,189.50,185.89,184.73,187.36,181.11,172.67,170.49,175.79,169.78,173.04,176.01,176.49,179.12,180.68,182.34,181.05,179.81,182.84,180.68,178.93,185.98,184.00,187.11,188.73,190.75,192.62,192.07,194.12,192.39,193.45,196.47,198.82,205.22,207.43,206.29,205.83,208.02,209.64,215.58,219.59
0_8,100.00,99.52,96.53,98.93,99.62,99.08,99.56,98.70,93.32,96.92,96.41,91.22,95.55,96.39,97.74,92.29,91.91,88.51,90.34,94.57,93.08,93.87,92.26,97.25,89.05,95.24,90.76,94.47,96.95,99.20,103.88,107.25,107.78,109.31,115.73,117.24,126.25,127.55,131.00,132.09,140.70,145.74,153.49,158.89,167.43,176.15,180.81,190.41,187.98,204.17,212.95,216.93,240.02,246.76,249.77,273.81,283.29,310.99,323.35,320.91,321.52,321.06,329.33,332.97,336.97,340.13,338.15,329.80,332.73,318.50,320.23,313.60,302.58,308.87,307.65,319.10,323.34,310.35,322.87,316.79,310.69,331.65,322.23,335.94,340.64,344.46,360.18,362.36,382.93,391.33,409.95,397.06,431.65,421.51,415.71,433.23,432.31,455.00,477.59,460.04,440.71,487.12,472.01,485.78,502.98,503.79,520.69,525.54,541.06,559.12,536.63,565.73,568.12,559.88,568.72,589.03
0_9,100.00,100.23,99.90,100.39,101.22,100.77,101.88,102.25,102.51,103.65,104.09,105.15,105.88,106.31,107.42,108.17,108.67,108.88,110.07,110.35,110.81,111.77,112.29,112.50,113.61,114.06,114.54,115.91,117.49,118.74,120.02,121.30,122.92,125.00,126.62,128.78,131.28,133.58,136.41,139.74,143.15,146.99,151.17,155.23,159.11,163.96,168.44,173.59,179.33,184.38,190.21,197.61,205.60,215.72,227.28,239.16,254.56,271.37,288.70,300.64,308.26,311.18,310.64,310.24,307.92,303.69,289.29,277.16,257.36,236.44,217.80,203.98,194.69,189.47,186.37,185.44,183.63,180.46,176.21,173.26,165.96,166.50,168.77,169.86,173.10,177.47,181.11,184.59,190.74,197.01,202.42,207.59,210.11,213.59,217.36,222.74,228.18,233.12,238.30,243.98,249.59,255.05,262.23,267.68,273.19,278.72,283.74,290.13,296.68,302.46,308.74,311.31,316.57,320.74,324.86,330.34
0_10,100.00,99.73,99.83,100.69,101.80,100.75,102.82,102.76,103.34,104.30,104.82,105.70,106.55,107.80,108.93,109.88,110.80,111.88,113.33,114.79,116.32,117.29,118.43,118.85,120.86,121.89,123.29,124.86,126.70,128.74,130.78,132.95,135.51,137.62,140.37,142.54,144.67,147.52,149.22,151.65,153.62,155.74,157.25,158.91,161.33,161.84,163.86,166.14,168.07,168.57,170.19,171.01,172.63,174.50,176.77,178.89,181.44,184.32,187.24,191.10,193.54,195.14,196.06,199.42,200.29,201.55,198.50,197.00,193.39,189.09,184.13,174.92,177.12,171.85,173.73,169.03,164.22,165.68,157.70,152.88,151.57,146.87,147.14,148.76,147.51,151.69,155.24,158.57,162.46,166.95,170.11,172.98,179.21,178.09,180.38,185.15,188.01,191.12,194.46,197.15,200.56,204.01,207.27,211.47,214.34,218.80,222.38,225.78,231.52,235.32,241.43,244.79,249.68,252.56,254.27,260.44
0_11,100.00,97.45,99.39,98.28,102.83,97.36,101.77,101.91,101.60,102.89,99.13,100.37,98.70,99.87,99.58,97.85,98.50,95.13,94.57,94.71,90.37,93.07,89.45,89.17,83.10,82.24,83.21,82.09,83.93,84.65,82.48,82.60,84.61,81.92,82.66,85.23,89.93,88.99,89.46,92.25,95.66,97.82,99.41,100.98,102.15,107.61,110.88,113.46,117.41,119.14,128.60,137.44,141.43,152.09,164.35,168.84,178.79,192.76,202.64,203.58,214.49,211.83,209.07,213.08,215.36,213.67,210.75,206.54,205.80,204.65,195.50,200.17,192.13,180.01,182.39,178.92,176.73,176.94,172.14,175.91,157.38,167.74,171.26,164.92,168.85,177.60,176.37,182.28,188.46,191.63,194.15,195.62,204.78,200.10,206.12,210.78,214.52,214.73,215.80,222.15,223.32,220.33,221.49,231.47,227.64,241.98,248.66,250.10,247.46,251.28,255.81,257.47,259.15,261.78,269.68,270.08
0_12,100.00,100.65,102.39,105.27,106.88,109.14,110.97,113.83,116.39,117.90,123.01,124.13,126.16,129.36,131.29,131.99,134.29,134.64,135.51,136.71,136.88,137.34,137.88,139.26,138.89,139.66,140.86,141.30,142.41,143.01,143.75,144.35,145.92,147.36,147.68,149.77,150.73,150.99,150.47,154.01,155.39,156.80,157.62,158.37,159.02,161.15,162.22,164.34,167.11,168.18,171.78,174.05,177.02,183.44,189.65,193.40,201.36,206.63,217.30,228.19,236.03,246.02,249.55,257.30,259.26,262.13,260.88,260.08,259.12,249.71,244.34,236.13,237.87,231.87,223.00,217.65,208.87,204.68,196.65,189.31,180.67,178.20,182.31,183.43,186.10,196.00,198.81,202.54,209.07,211.47,216.88,218.01,222.69,223.18,225.48,228.42,231.18,238.89,240.78,251.24,253.13,256.65,264.23,268.23,277.27,282.17,287.51,300.76,306.50,320.00,329.45,337.03,348.06,356.59,367.35,377.44
0_13,100.00,100.28,101.11,102.31,103.33,104.26,104.80,106.66,107.35,108.35,109.95,110.63,112.66,113.88,114.57,115.46,116.08,117.39,118.42,118.96,120.18,121.12,121.53,122.32,122.56,123.32,123.95,124.58,125.54,126.21,127.54,129.56,131.11,132.69,134.70,136.59,138.58,140.86,143.34,145.47,148.28,150.76,153.09,155.16,157.90,160.50,163.10,166.18,168.75,171.85,174.62,178.18,180.80,183.77,187.06,189.46,193.03,196.24,199.87,203.00,206.43,208.42,208.76,209.16,213.32,210.53,208.44,206.78,203.26,199.16,193.99,190.13,186.02,182.75,182.99,180.41,179.04,177.64,174.15,172.52,168.70,164.72,166.01,162.60,163.06,163.65,164.81,164.06,166.30,169.79,170.88,173.09,173.61,175.08,176.74,177.81,178.74,181.23,181.92,182.32,184.26,185.67,188.75,191.84,194.04,192.97,195.18,197.62,199.88,200.92,202.90,204.35,205.87,207.10,207.39,208.47
0_14,100.00,99.82,100.42,101.22,102.24,103.64,104.73,105.68,106.87,108.20,109.59,111.27,112.40,113.43,114.57,115.90,118.19,118.14,120.14,120.86,122.35,123.89,125.08,126.03,126.17,127.32,128.06,129.15,130.15,131.30,132.14,134.51,135.13,136.02,137.86,138.26,140.69,141.21,142.24,142.43,143.96,144.77,145.02,147.28,147.76,148.23,148.94,149.61,151.35,152.11,153.41,154.81,155.41,157.72,158.90,159.74,161.07,162.02,162.90,165.32,165.31,166.51,167.04,167.49,168.59,168.91,168.71,165.64,165.28,162.10,162.30,158.06,159.19,158.58,157.37,158.22,156.91,157.46,157.11,155.79,154.12,155.14,155.79,156.83,155.61,157.27,156.94,158.89,161.02,162.33,164.84,165.24,166.52,166.51,168.47,169.71,172.42,174.12,174.81,176.84,178.39,181.66,184.67,187.21,188.59,190.79,193.90,199.70,202.42,207.00,209.19,212.26,217.21,220.18,224.91,227.02
0_15,100.00,100.66,101.42,102.68,103.82,106.15,107.19,108.42,110.97,112.31,114.60,117.67,118.88,119.97,121.69,122.54,123.65,125.44,127.37,128.58,130.24,131.22,132.43,133.19,134.15,135.41,136.11,137.76,139.70,141.30,142.88,146.20,146.51,149.09,150.29,152.09,153.82,155.15,156.98,157.37,159.52,160.67,161.82,163.58,164.31,166.11,168.06,169.93,171.53,172.55,174.46,175.67,177.58,180.10,181.64,184.70,184.73,188.73,188.44,190.62,193.10,194.59,195.20,195.64,197.71,197.96,199.11,197.89,198.06,196.58,195.15,196.04,193.87,193.53,195.47,194.67,194.38,195.43,190.13,193.72,188.84,190.44,191.34,192.10,195.16,194.56,195.90,197.69,199.27,201.89,202.77,205.00,205.68,206.42,208.46,209.49,211.51,213.52,214.89,218.92,219.95,222.29,225.81,227.05,230.19,231.99,233.99,237.47,239.21,245.37,246.19,248.87,250.44,251.45,254.02,254.00
