Series ID,Wed Sep 26 2018 14:35:24 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 14:51:01 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:06:38 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:22:16 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:38:03 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:53:58 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:09:50 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:25:45 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:41:24 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:56:59 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:12:35 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:28:10 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:43:45 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:59:36 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 18:15:29 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 18:31:26 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 18:47:23 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 19:03:00 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 19:18:35 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 19:34:10 GMT-0500 (Central Daylight Time)
108_4,80.86,80.86,80.86,80.86,80.86,80.85,80.85,80.85,80.85,80.85,80.86,80.86,80.85,80.85,80.85,80.85,80.85,80.85,80.84,
108_5,8540,8540,8540,8540,8540,8540,8540,8540,8890,8750,8750,8540,8540,8680,8680,8680,8680,8680,8680,
108_6,8540,8540,8470,8540,8540,8540,8540,8540,8890,8680,8680,8540,8540,8680,8540,8540,8680,8680,8680,
108_7,8540,8540,8540,8540,8540,8540,8540,8540,8890,8750,8750,8540,8540,8680,8540,8540,8680,8680,8680,
108_8,8540,8540,8540,8470,8470,8540,8540,8540,8890,8750,8750,8540,8540,8680,8680,8680,8680,8680,8680,
108_9,,,,,,,,,,,,,,,,,,,,
109_0,73,73,73,73,73,73,73,73,73,74,73,73,74,73,73,73,73,73,73,
109_1,50,50,50,50,50,50,50,50,50,51,50,50,51,50,50,50,51,51,50,
109_2,8,8,8,8,8,8,8,8,8,10,9,9,8,8,8,8,8,8,8,
109_3,0.501111,0.500694,0.500694,0.500972,0.500972,0.501111,0.502083,0.502083,0.500833,0.500694,0.500694,0.50125,0.500833,0.500833,0.500972,0.500972,0.500972,0.500833,0.500833,
109_4,65.82,65.82,65.82,65.82,65.82,65.82,65.82,65.82,65.82,65.82,65.82,65.82,65.82,65.82,65.82,65.82,65.82,65.82,65.82,
109_5,8540,8540,8540,8540,8540,8540,8540,8540,8890,8680,8680,8540,8540,8680,8540,8540,8540,8680,8680,
109_6,8540,8540,8540,8540,8540,8540,8470,8470,8890,8750,8750,8540,8540,8680,8680,8680,8680,8680,8680,
109_7,8540,8540,8540,8540,8540,8540,8540,8540,8890,8680,8680,8540,8540,8750,8540,8540,8540,8680,8680,
109_8,8540,8540,8540,8540,8540,8540,8540,8540,8890,8680,8680,8540,8540,8680,8750,8750,8680,8680,8680,
109_9,,,,,,,,,,,,,,,,,,,,
110_0,68,,66,66,68,68,68,68,71,71,68,68,68,68,68,68,67,67,68,
110_1,51,,51,51,51,51,51,51,54,54,51,51,51,51,51,51,50,50,51,
110_2,9,,8,8,8,8,8,9,13,13,9,9,9,9,9,9,9,9,9,
110_3,0.439722,0.429167,0.429167,0.438056,0.438056,0.463194,0.432222,0.432222,0.437917,0.434583,0.434583,0.439861,0.443889,0.443889,0.440278,0.440278,0.434028,0.433056,0.433056,
110_4,53.28,53.28,53.28,53.28,53.28,50.7,50.7,50.7,49.43,49.43,50.7,50.7,50.7,50.7,50.7,50.7,50.67,50.67,50.7,
110_5,8750,8750,8540,8680,8680,8540,8540,8540,8890,8890,8890,8890,8890,8680,8750,8750,8750,8680,8680,
110_6,8680,8680,8470,8680,8680,8470,8540,8540,8890,8750,8750,8750,8750,8680,8680,8680,8680,8680,8680,
110_7,8540,8540,8540,8540,8540,8540,8470,8470,8750,8890,8890,8890,8890,8680,8680,8680,8680,8680,8680,
110_8,8680,8680,8470,8680,8680,8470,8540,8540,8890,8890,8890,8750,8750,8680,8680,8680,8680,8750,8750,
110_9,,,,,,,,,,,,,,,,,,,,
111_0,75,75,75,75,75,75,75,75,75,78,76,76,75,76,76,76,76,75,76,
111_1,45,45,45,45,45,44,44,45,45,46,45,45,45,45,45,45,45,45,45,
111_2,8,8,8,8,8,8,8,9,9,10,9,9,9,9,9,9,9,9,9,
111_3,0.499722,0.500139,0.500139,0.500139,0.500139,0.499306,0.5,0.5,0.500417,0.500556,0.500556,0.5,0.501111,0.501111,0.499861,0.499861,0.5,0.500556,0.500556,
111_4,82.3,82.3,82.3,82.3,82.3,82.29,82.29,82.3,82.3,82.3,82.3,82.3,82.3,82.29,82.29,82.3,82.3,82.3,82.29,
111_5,8540,8540,8680,8680,8680,8540,8540,8540,8890,8890,8890,8890,8890,8750,8680,8680,8680,8750,8750,
111_6,8680,8680,8680,8540,8540,8540,8540,8540,8890,8890,8890,8750,8750,8750,8680,8680,8680,8680,8680,
111_7,8540,8540,8540,8680,8680,8470,8470,8470,8890,8750,8750,8750,8750,8680,8680,8680,8680,8680,8680,
111_8,8540,8540,8680,8680,8680,8540,8540,8540,8890,8890,8890,8680,8680,8680,8680,8680,8680,8680,8680,
111_9,,,,,,,,,,,,,,,,,,,,
112_0,74,74,74,74,74,74,74,74,74,76,76,75,75,75,75,74,74,75,75,
112_1,44,44,44,44,44,44,44,44,44,45,45,45,44,44,45,44,44,44,44,
112_2,9,9,9,9,9,9,9,9,9,10,10,9,9,9,9,9,9,9,9,
112_3,0.499861,0.499861,0.499861,0.500417,0.500417,0.499167,0.499722,0.499722,0.500417,0.500278,0.500278,0.500417,0.499861,0.499861,0.499444,0.499444,0.500139,0.500278,0.500278,
112_4,85.72,85.72,85.72,85.72,85.69,85.72,85.72,85.72,85.72,85.72,85.72,85.72,85.72,85.71,85.71,85.71,85.71,85.71,85.71,
112_5,8330,8330,8330,8330,8330,8540,8330,8330,8890,8680,8680,8540,8540,8540,8540,8540,8540,8540,8540,
112_6,8330,8330,8330,8260,8260,8540,8330,8330,8750,8680,8680,8680,8680,8470,8540,8540,8540,8540,8540,
112_7,8330,8330,8330,8330,8330,8470,8330,8330,8890,8680,8680,8470,8470,8540,8540,8540,8540,8470,8470,
112_8,8330,8330,8330,8330,8330,8470,8330,8330,8890,8680,8680,8540,8540,8540,8470,8470,8540,8540,8540,
112_9,,,,,,,,,,,,,,,,,,,,
113_0,36,36,35,35,36,36,36,36,36,39,36,36,35,36,36,35,35,35,36,
113_1,27,27,27,27,27,27,27,27,27,30,28,28,27,27,27,27,27,27,27,
113_2,9,9,9,9,9,9,9,9,9,11,9,9,9,9,9,9,9,9,9,
113_3,0.000139,0.000139,0.000139,0.000139,0.000139,0.000139,0.000139,0.000139,0.000417,0.000278,0.000278,0.000139,0.000139,0.000139,0.000139,0.000139,0.000139,0.000694,0.000694,
113_4,94.51,94.51,94.51,94.51,94.51,94.51,94.51,94.51,94.51,94.51,94.51,94.51,94.51,94.51,94.51,94.51,94.51,94.51,94.51,
113_5,8330,8330,8330,8330,8330,8540,8470,8470,8890,8680,8680,8540,8540,8540,8470,8470,8540,8470,8470,
113_6,8330,8330,8330,8260,8260,8540,8470,8470,8750,8680,8680,8540,8540,8540,8470,8470,8470,8470,8470,
113_7,8330,8330,8330,8260,8260,8540,8330,8330,8750,8680,8680,8540,8540,8470,8470,8470,8470,8470,8470,
113_8,8330,8330,8330,8260,8260,8470,8330,8330,8890,8680,8680,8540,8540,8540,8540,8540,8540,8470,8470,
113_9,,,,,,,,,,,,,,,,,,,,
114_0,70,70,70,70,70,70,70,70,70,73,72,72,72,72,72,71,71,71,71,
114_1,50,50,50,50,50,50,50,50,50,52,50,50,51,51,51,50,50,50,50,
114_2,9,9,9,9,9,9,9,9,9,11,9,9,9,9,9,9,9,9,9,
114_3,0.499444,0.500694,0.500694,0.500139,0.500139,0.499722,0.499444,0.499444,0.499861,0.499444,0.499444,0.5,0.500694,0.500694,0.500139,0.500139,0.500556,0.500556,0.500556,
114_4,82.55,82.55,82.55,82.55,82.55,82.55,82.55,82.55,82.55,82.55,82.55,82.55,82.55,82.55,82.55,82.55,82.55,82.55,82.55,
114_5,8330,8330,8330,8260,8260,8330,8470,8470,8890,8540,8540,8330,8330,8470,8330,8330,8330,8470,8470,
114_6,8330,8330,8330,8330,8330,8330,8330,8330,8890,8470,8470,8330,8330,8330,8330,8330,8470,8330,8330,
114_7,8330,8330,8330,8330,8330,8330,8330,8330,8750,8540,8540,8330,8330,8330,8330,8330,8330,8330,8330,
114_8,8330,8330,8470,8470,8470,8470,8470,8470,8960,8540,8540,8470,8470,8470,8470,8470,8470,8470,8470,
114_9,,,,,,,,,,,,,,,,,,,,
115_0,37,37,37,37,37,37,37,37,37,41,38,38,38,37,37,37,38,38,37,
115_1,27,27,27,27,27,27,27,27,27,30,28,28,27,27,27,27,27,27,27,
115_2,9,9,9,9,9,9,9,9,9,11,9,9,9,9,9,9,9,9,9,
115_3,0.000278,0.000139,0.000139,0.000833,0.000833,0.000139,0.000694,0.000694,0.000139,0.000556,0.000556,0.000694,0.000278,0.000278,0.000417,0.000417,0.000556,0.000139,0.000139,
115_4,93.61,93.61,93.61,93.61,93.61,93.61,93.61,93.61,93.61,93.61,93.61,93.61,93.61,93.61,93.61,93.61,93.61,93.61,93.61,
115_5,8330,8330,8330,8330,8330,8330,8330,8330,8890,8540,8540,8470,8470,8470,8470,8470,8470,8330,8330,
115_6,8330,8330,8330,8330,8330,8470,8470,8470,8890,8540,8540,8330,8330,8330,8330,8330,8330,8330,8330,
115_7,8330,8330,8330,8330,8330,8330,8330,8330,8890,8470,8470,8330,8330,8330,8330,8330,8330,8330,8330,
115_8,8470,8470,8470,8470,8470,8330,8470,8470,8890,8540,8540,8470,8470,8470,8470,8470,8470,8330,8330,
115_9,,,,,,,,,,,,,,,,,,,,
116_0,62,62,62,62,62,62,62,62,62,64,63,63,63,63,63,63,63,63,63,
116_1,47,46,46,46,46,46,46,46,46,49,48,48,48,47,47,47,47,48,47,
116_2,9,9,9,9,9,9,9,9,9,11,10,10,9,9,9,9,9,9,9,
116_3,0.495694,0.496944,0.496944,0.493194,0.494861,0.494861,0.496528,0.496528,0.496111,0.497222,0.497222,0.494167,0.498056,0.498056,0.495694,0.495694,0.496389,0.496111,0.496111,
116_4,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.61,91.61,91.6,91.6,91.6,91.6,
116_5,8120,8120,8120,8120,8120,8120,8260,8260,8540,8330,8330,8120,8120,8260,8120,8120,8260,8120,8120,
116_6,8120,8120,8120,8120,8120,8120,8120,8120,8540,8330,8330,8120,8120,8260,8120,8120,8120,8120,8120,
116_7,8260,8260,8120,8120,8120,8260,8120,8120,8680,8470,8470,8260,8260,8120,8120,8120,8120,8260,8260,
116_8,8120,8120,8120,8120,8120,8260,8120,8120,8540,8330,8330,8050,8050,8120,8120,8120,8120,8120,8120,
116_9,,,,,,,,,,,,,,,,,,,,
117_0,62,62,62,62,62,,,62,40,40,36,36,36,36,36,,72,72,72,
117_1,45,45,45,45,45,,,45,31,31,28,28,27,28,28,,51,51,51,
117_2,9,9,9,9,9,,,9,13,13,10,10,9,9,9,,9,9,9,
117_3,0.500278,0.500694,0.500694,0.500972,0.500417,0.500417,0.500417,0.500417,0.500972,0.044444,0.044444,0.000694,0.000694,0.000694,0.000417,0.000417,0.438472,0.499028,0.499028,
117_4,92.51,92.51,92.51,92.51,92.51,92.51,92.51,92.51,93.52,93.52,93.52,93.52,93.52,93.52,93.52,90.14,83.42,83.42,83.41,
117_5,8120,8120,8260,8120,8120,8120,8120,8120,8540,8330,8330,8120,8120,8260,8120,8120,8260,8120,8120,
117_6,8260,8260,8120,8120,8120,8260,8120,8120,8540,8330,8330,8260,8260,8120,8120,8120,8120,8120,8120,
117_7,8260,8260,8120,8260,8260,8260,8120,8120,8680,8470,8470,8260,8260,8120,8120,8120,8120,8120,8120,
117_8,8120,8120,8120,8120,8120,8120,8260,8260,8470,8330,8330,8050,8050,8120,8120,8120,8050,8120,8120,
117_9,,,,,,,,,,,,,,,,,,,,
118_0,62,62,61,61,61,60,60,61,62,62,60,60,60,67,67,66,65,65,64,
118_1,49,49,49,49,48,47,47,48,51,51,49,48,48,54,54,52,52,52,52,
118_2,10,10,9,9,9,9,9,10,17,17,10,10,10,9,9,10,10,10,10,
118_3,0.500139,0.499722,0.499722,0.499167,0.499583,0.499583,0.499444,0.499444,0.500972,0.5,0.5,0.500417,0.500556,0.500556,0.499722,0.499722,0.499444,0.5,0.5,
118_4,13.47,13.56,13.84,13.84,13.93,13.85,13.85,14,14,13.8,14,14,13.91,10.81,10.81,10.76,11.19,11.19,11.02,
118_5,9170,9170,9170,8890,8890,9170,9170,9170,9800,9380,9380,9310,9310,9310,9170,9170,9170,9310,9310,
118_6,9100,9100,9170,8960,8960,9100,9170,9170,9800,9380,9380,9170,9170,9310,9310,9310,9170,9310,9310,
118_7,9100,9100,9100,8960,8960,8890,9170,9170,9660,9450,9450,9170,9170,9170,9310,9310,9170,9380,9380,
118_8,9170,9170,9170,8890,8890,9170,9170,9170,9660,9380,9380,9170,9170,9170,9170,9170,9100,9310,9310,
118_9,,,,,,,,,,,,,,,,,,,,
119_0,61,61,61,61,61,61,61,61,64,64,61,61,61,61,72,72,76,76,75,
119_1,44,44,44,44,44,44,44,44,48,48,44,44,44,44,52,52,54,54,54,
119_2,9,9,9,9,9,9,9,10,16,16,10,10,10,10,9,9,10,10,9,
119_3,0.500278,0.500694,0.500694,0.500556,0.500139,0.500139,0.500556,0.500556,0.500556,0.500278,0.500278,0.500556,0.500972,0.500972,0.500139,0.500139,0.496111,0.499444,0.499444,
119_4,87.49,87.49,87.49,87.49,87.44,88.73,88.73,88.7,88.67,88.67,88.63,88.63,88.59,88.55,88.55,86.22,81.27,81.27,79.52,
119_5,8890,9170,9170,8960,9170,9170,8890,8890,9800,9450,9450,9310,9310,9310,,,9170,9310,9310,
119_6,8890,9170,9170,8890,8960,8960,8890,8890,9870,9450,9450,9310,9310,9310,,,9170,9310,9310,
119_7,8890,9170,9170,8890,8960,8960,8890,8890,9870,9380,9380,9310,9310,9310,,,9170,9310,9310,
119_8,8890,9170,9170,8890,9170,9170,8890,8890,9870,9450,9450,9310,9170,9170,,,9170,9310,9310,
119_9,,,,,,,,,,,,,,,,,,,,
120_0,70,70,67,71,71,68,69,69,75,75,69,71,71,67,68,68,67,71,71,
120_1,57,57,53,57,57,54,55,55,63,63,55,57,57,53,53,53,53,57,57,
120_2,9,9,9,9,9,9,9,9,21,21,10,9,9,9,9,9,9,9,9,
120_3,5.604722,5.307083,5.307083,5.382361,5.382361,5.122778,5.083611,5.083611,5.149167,5.447778,5.447778,5.525972,5.525972,5.438333,5.603889,5.603889,5.389861,5.336111,5.336111,
120_4,86.38,86.38,86.46,86.46,86.35,86.33,86.33,86.25,86.22,86.22,86.2,86.2,86.23,86.2,86.2,86.09,86.08,86.08,86.28,
120_5,7840,7840,8120,7840,7840,8260,7630,7630,8680,7840,7840,8120,8120,7910,7630,7630,8120,7840,7840,
120_6,7420,7420,8120,7910,7910,7630,7630,7630,8680,7420,7420,8050,8050,8050,7700,7700,8120,8120,8120,
120_7,7840,7840,8050,7700,7700,8120,7490,7490,8680,7840,7840,7700,7700,7910,7490,7490,8050,8120,8120,
120_8,7420,7420,8050,7910,7910,7630,7630,7630,8680,7490,7490,8120,8120,8120,7840,7840,8120,8120,8120,
120_9,,,,,,,,,,,,,,,,,,,,
121_0,74,74,73,73,73,73,73,73,76,76,73,73,73,,74,74,72,72,71,
121_1,56,56,56,56,56,56,56,56,59,59,56,56,56,,56,56,55,55,54,
121_2,15,15,14,14,14,14,14,14,18,18,16,15,15,,15,15,14,14,15,
121_3,0.500139,0.499722,0.499722,0.500139,0.500139,0.500139,0.500417,0.500417,0.500833,0.500417,0.500417,0.5,0.500417,0.500417,0.499861,0.499861,0.500278,0.500139,0.500139,
121_4,86.09,86.09,86.1,86.1,86.09,86.09,86.09,86.09,86.09,86.09,86.09,86.09,86.09,86.08,86.08,86.08,86.08,86.08,86.08,
121_5,8960,8890,8750,8750,8890,8890,8890,8890,8890,9170,8960,8960,8890,8890,8540,8960,8960,8960,8890,
121_6,8890,8890,8750,8750,8890,8890,8890,8750,8750,9170,8890,8890,8890,8890,8680,8890,8890,8890,8890,
121_7,8960,8890,8890,8890,8890,8890,8890,8890,8890,9170,8890,8890,8890,8890,8680,8960,8960,8960,9100,
121_8,8960,8890,8890,8890,8890,8890,8890,8890,8890,9170,8960,8960,8750,8750,8680,8890,8890,8960,9100,
121_9,,,,,,,,,,,,,,,,,,,,
122_0,77,77,76,76,76,76,76,76,79,79,77,77,76,41,41,,79,79,79,
122_1,58,58,58,58,58,57,57,58,60,60,58,58,58,34,34,,59,59,59,
122_2,15,15,14,14,14,14,14,14,19,19,16,16,15,15,15,,15,15,15,
122_3,0.500694,0.500417,0.500417,0.500417,0.500556,0.500556,0.500556,0.500556,0.500972,0.500694,0.500694,0.500139,0.500556,0.500556,0.006389,0.006389,0.436667,0.499861,0.499861,
122_4,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.53,93.53,93.54,94.7,94.7,91.34,84.63,84.63,84.62,
122_5,8890,8890,8890,8960,8960,8890,8890,8890,8890,8960,8960,8890,8890,8540,8890,8890,8960,9170,9170,
122_6,8890,8890,8890,8960,8960,8890,8890,8890,8680,8890,8890,8890,8890,8540,8890,8890,8960,9170,9170,
122_7,8890,8890,8890,8960,8960,8890,8890,8890,8750,8960,8960,8890,8890,8750,8890,8890,8960,9170,9170,
122_8,8890,8890,8750,8960,8960,8750,8750,8750,8750,8890,8890,8890,8890,8540,8890,8890,8890,9170,9170,
122_9,,,,,,,,,,,,,,,,,,,,
123_0,85,85,84,84,84,84,84,85,85,85,85,85,85,85,84,84,84,84,84,
123_1,52,52,51,52,52,52,52,53,55,55,53,52,52,52,52,52,52,52,52,
123_2,16,16,16,16,16,14,14,15,19,19,16,16,16,15,16,16,16,16,15,
123_3,0.498194,0.497222,0.497222,0.495972,0.495972,0.494028,0.497778,0.497778,0.497778,0.494306,0.494306,0.497222,0.497639,0.497639,0.496944,0.496944,0.498472,0.487639,0.487639,
123_4,74.39,74.39,74.39,74.39,74.39,74.38,74.38,74.38,74.38,74.38,74.39,74.39,74.39,74.38,74.38,74.39,74.39,74.39,74.38,
123_5,9870,9870,9870,10010,10010,10010,9870,9870,9800,10220,10220,9800,9800,9870,9870,9870,10010,9800,9800,
123_6,9800,9800,9800,10010,10010,9870,9800,9800,9660,10290,10290,9800,9800,9800,9800,9800,9800,9800,9800,
123_7,9870,9870,9800,10220,10220,10010,9870,9870,9800,10290,10290,9800,9800,9870,9870,9870,9870,9800,9800,
123_8,9870,9870,9800,10010,10010,10010,9870,9870,9800,10290,10290,9800,9800,9870,10010,10010,9870,9800,9800,
123_9,,,,,,,,,,,,,,,,,,,,
124_0,67,67,66,67,67,66,66,67,70,70,69,68,68,67,67,67,67,67,67,
124_1,50,50,49,49,49,49,49,49,53,53,51,50,50,50,50,50,50,50,50,
124_2,16,16,16,16,16,14,14,15,20,20,16,16,16,15,15,15,16,16,15,
124_3,0.500139,0.499722,0.499722,0.500694,0.500694,0.5,0.500139,0.500139,0.500833,0.500417,0.500417,0.500694,0.500139,0.500139,0.500833,0.500833,0.500139,0.500556,0.500556,
124_4,92.66,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,
124_5,9870,9870,9800,10010,10010,10010,9870,9870,9800,10290,10290,9800,9800,9870,9870,9870,9870,9800,9800,
124_6,9870,9870,9800,9870,9870,9870,9800,9800,9660,10290,10290,9660,9660,9660,9870,9870,9870,9800,9800,
124_7,9870,9870,9870,10080,10080,10010,9870,9870,9800,10290,10290,9800,9800,9870,9870,9870,9870,9870,9870,
124_8,9870,9870,9800,9870,9870,10010,9870,9870,9800,10290,10290,9660,9660,9800,9870,9870,9870,9800,9800,
124_9,,,,,,,,,,,,,,,,,,,,
125_0,67,68,68,68,66,70,70,72,72,45,43,43,41,41,41,42,41,41,42,
125_1,52,52,52,52,51,52,52,54,54,39,37,37,35,35,35,36,36,36,36,
125_2,12,12,12,12,12,11,11,11,11,13,12,12,11,11,11,11,11,11,11,
125_3,0.499444,0.500833,0.500833,0.499583,0.499028,0.499028,0.499722,0.499722,0.500833,0.499167,0.499167,0.499722,0.500694,0.500694,0.499861,0.499861,0.499861,0.499306,0.499306,
125_4,45.86,45.9,45.94,45.94,45.74,44.56,44.56,46.05,45.9,45.9,46.01,46.01,46.03,45.02,45.02,44.18,44.19,44.19,45.1,
125_5,8050,8470,8470,8470,8260,8260,8470,10710,10710,16800,16730,16730,16800,16800,16800,16730,16730,16940,16800,
125_6,8050,8330,8470,8470,8330,8330,8680,10710,10710,16590,16730,16730,16730,16730,16730,16730,16730,16800,16800,
125_7,8330,8470,8120,8120,8260,8260,8330,10710,10710,16800,16800,16800,16800,16800,16800,16800,16800,16940,16940,
125_8,8050,8330,8330,8330,8470,8470,8680,10710,10710,16800,16800,16800,16800,16800,16800,16800,16800,16800,16940,
125_9,,,,,,,,,,,,,,,,,,,,
126_0,,,,,,,,,,33,31,31,31,31,31,31,31,31,31,
126_1,,,,,,,,,,98,98,98,98,98,98,98,98,98,98,
126_2,12,12,12,12,,,,,,12,11,11,11,11,11,11,11,11,11,
126_3,,,,,,,,,,,,,,,,,,,,
126_4,,,,,,,,,,,,,,,,,,,,
126_5,,,,,,,,16940,16940,16730,16730,16730,16800,16800,16730,16800,16800,16940,,
126_6,,,,,,,,16800,16800,16590,16590,16730,16730,16730,16730,16730,16730,16800,,
126_7,,,,,,,,16940,16940,16800,16800,16730,16730,16730,16800,16800,16800,16940,,
126_8,,,,,,,,16940,16940,16800,16800,16800,16800,16800,16800,16800,16800,16940,,
126_9,,,,,,,,,,,,,,,,,,,,
127_0,67,67,67,67,65,65,66,67,67,68,66,66,66,66,66,66,66,63,66,
127_1,49,48,49,49,47,47,48,48,48,50,49,49,48,48,48,48,48,46,48,
127_2,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,
127_3,0.498056,0.498889,0.498889,0.493889,0.493889,0.49125,0.497361,0.497361,0.497639,0.498333,0.498333,0.498472,0.495972,0.495972,0.49875,0.49875,0.49625,0.491667,0.491667,
127_4,81.38,81.38,81.38,81.38,81.38,81.38,81.38,81.38,81.37,81.37,81.38,81.38,81.38,81.38,81.38,81.38,81.37,81.37,81.38,
127_5,8890,8890,8890,8890,8890,8890,8890,8890,8890,8890,8890,8890,8890,8680,8680,8680,8890,8890,8890,
127_6,8750,8750,8750,8750,8750,8890,8750,8750,8750,8750,8750,8750,8750,8680,8680,8680,8750,8750,8750,
127_7,8890,8890,8750,8890,8890,8750,8750,8750,8890,8750,8750,8750,8750,8680,8680,8680,8750,8750,8750,
127_8,8890,8890,8890,8890,8890,8890,8890,8890,8890,8890,8890,8890,8890,8680,8680,8680,8890,8890,8890,
127_9,,,,,,,,,,,,,,,,,,,,
128_0,76,76,76,76,76,76,76,76,79,79,76,76,76,,,76,76,76,76,
128_1,56,56,56,56,56,55,55,56,58,58,56,56,56,,,56,55,55,56,
128_2,10,10,10,10,10,10,10,10,12,12,10,10,10,,,10,10,10,10,
128_3,0.494306,0.493194,0.493194,0.495278,0.495278,0.4925,0.491944,0.491944,0.493889,0.49375,0.49375,0.49125,0.49375,0.49375,0.492222,0.492222,0.490139,0.489306,0.489306,
128_4,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.27,82.27,82.27,82.27,82.29,82.29,82.28,
128_5,8890,8890,8890,8890,8750,8890,8890,8680,9170,9170,8750,8750,8890,8680,8680,8890,,,8750,
128_6,8750,8750,8750,8750,8750,8750,8750,8680,9170,9170,8750,8750,8750,8680,8680,8750,,,8750,
128_7,8890,8890,8750,8750,8750,8890,8890,8680,9170,9170,8890,8890,8750,8680,8680,8750,,,8750,
128_8,8890,8890,8890,8890,8890,8890,8890,8750,9310,9310,8960,8960,8890,8750,8750,8890,,,8890,
128_9,,,,,,,,,,,,,,,,,,,,
129_0,79,79,79,79,78,78,78,78,78,79,76,76,79,79,78,78,78,78,78,
129_1,51,50,50,50,50,50,49,50,50,50,50,50,50,50,50,50,50,50,50,
129_2,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,
129_3,0.490694,0.493194,0.493194,0.49125,0.4925,0.4925,0.491111,0.491111,0.492361,0.491667,0.491667,0.490694,0.493611,0.493611,0.491528,0.491528,0.491111,0.491389,0.491389,
129_4,72.04,72.04,72.04,72.04,72.04,72.04,72.04,72.04,72.04,72.04,72.04,72.04,72.02,72.02,72.02,72.02,72.04,72.04,72.03,
129_5,9100,9170,9170,9170,9170,9170,9170,9170,9170,9450,8120,8120,9170,9170,9170,9170,9170,9170,9100,
129_6,9170,9170,9170,9170,9170,9170,9170,9170,9170,9450,8120,8120,9170,9170,9170,9170,9170,9170,9170,
129_7,9170,9100,9170,9170,9170,9170,9100,9100,9100,9450,8050,8050,9170,9170,9100,9170,9170,9170,9170,
129_8,9170,9170,9170,9170,9170,9170,9170,9170,9170,9380,8120,8120,9170,9170,9170,9170,9170,9100,9170,
129_9,,,,,,,,,,,,,,,,,,,,
130_0,64,63,63,63,63,63,63,63,63,63,68,68,63,63,63,63,63,63,63,
130_1,47,47,47,47,47,47,47,47,47,47,50,50,47,47,47,47,47,47,47,
130_2,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,
130_3,0.499583,0.500833,0.500833,0.499722,0.499722,0.5,0.499861,0.499861,0.500139,0.499167,0.499167,0.499722,0.499028,0.499028,0.499861,0.499861,0.499306,0.499444,0.499444,
130_4,82.14,82.14,82.13,82.13,82.14,82.37,82.37,82.37,82.37,82.37,82.37,82.37,82.37,82.37,82.37,82.37,82.37,82.37,82.37,
130_5,9170,9170,9170,9170,9170,9170,9170,9170,9170,9310,9310,9170,9170,9170,9170,9170,9170,9170,9170,
130_6,9170,9170,9170,9170,9170,9170,9170,9170,9170,9310,9310,9170,9170,9170,9170,9170,9170,9170,9170,
130_7,9170,9170,9170,9100,9100,9100,9100,9100,9170,9170,9170,9100,9100,9170,9100,9100,9170,9170,9170,
130_8,9100,9170,9170,9170,9170,9170,9170,9170,9170,9310,9310,9100,9100,9170,9170,9170,9100,9170,9170,
130_9,,,,,,,,,,,,,,,,,,,,
131_0,56,55,55,55,57,55,55,55,55,57,55,55,55,55,55,35,36,36,37,
131_1,42,42,42,42,43,42,42,42,42,44,42,42,42,42,42,28,32,32,28,
131_2,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,
131_3,0.5,0.500417,0.500417,0.500139,0.500139,0.500278,0.500278,0.500278,0.501389,0.500139,0.500139,0.500417,0.50125,0.50125,0.500278,0.500278,0.008333,0.013056,0.013056,
131_4,92.6,92.6,92.6,92.6,92.6,92.6,92.6,92.6,92.6,92.6,92.6,92.6,92.6,92.6,92.6,93.43,93.18,93.18,93.16,
131_5,8050,8120,8120,8120,7490,7910,7910,8050,8050,8330,8120,8120,8050,8120,8120,8120,8120,8120,8120,
131_6,8120,8120,8120,8120,7490,7910,7910,8120,8120,8470,8120,8120,8050,8120,8120,8120,8120,8120,8050,
