Series ID,Wed Sep 26 2018 14:35:24 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 14:51:01 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:06:38 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:22:16 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:38:03 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:53:58 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:09:50 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:25:45 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:41:24 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:56:59 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:12:35 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:28:10 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:43:45 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:59:36 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 18:15:29 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 18:31:26 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 18:47:23 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 19:03:00 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 19:18:35 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 19:34:10 GMT-0500 (Central Daylight Time)
4_6,10920,10920,10710,11060,11060,11060,10920,10920,10640,10640,11480,11130,11130,11130,11130,11130,11130,11130,11060,
4_7,11060,11060,10710,11060,11060,11060,11060,11060,10710,10710,11550,11270,11270,11130,11270,11270,11130,11130,11130,
4_8,11060,11060,10710,10920,10920,11060,11060,11060,10710,10710,11480,11130,11130,11130,11130,11130,11060,11060,11060,
4_9,77.8125,,,,,,,,,,,,,,,,,,,
5_0,34,34,34,34,34,34,34,34,34,35,35,35,34,34,34,34,34,34,34,
5_1,29,29,29,30,30,30,30,30,30,31,31,30,29,29,29,29,29,29,29,
5_2,15,15,15,16,15,15,15,15,16,17,17,16,16,16,16,16,16,15,15,
5_3,0.000139,0.000139,0.000278,0.000278,0.000278,0.000139,0.000139,0.000139,0.000278,0.000972,0.000972,0.000139,0.000139,0.000972,0.000278,0.000278,0.000139,0.000556,0.000556,
5_4,93.32,93.32,93.32,93.32,93.32,93.32,93.32,93.32,93.32,93.32,93.32,93.32,93.32,93.32,93.32,93.32,93.32,93.32,93.32,
5_5,11060,11060,11060,11060,11060,11060,11060,11060,11830,11830,11060,11060,11270,11270,11270,11130,11130,11130,11130,
5_6,10920,10920,11060,11060,10920,11060,11060,11060,11760,11760,11060,11060,11130,11130,11130,11130,11060,11060,11130,
5_7,11060,11060,11060,11060,11060,11060,11060,11060,11830,11830,11130,11130,11130,11130,11130,11270,11130,11130,11130,
5_8,10920,11060,10920,10920,10920,10920,10920,10920,11830,11830,11060,11060,11130,11130,11130,11130,11130,11130,11060,
5_9,82.8125,,,,,,,,,,,,,,,,,,,
6_0,44,,44,44,44,44,44,44,44,45,,,44,44,44,44,44,44,44,
6_1,38,,38,38,38,38,37,38,38,39,,,38,38,38,38,38,38,38,
6_2,13,,13,13,13,13,13,14,14,16,,,14,14,13,13,13,13,14,
6_3,0.494861,0.496389,0.496389,0.4975,0.4975,0.497083,0.497222,0.497222,0.498472,0.496111,0.496111,0.496389,0.496389,0.497083,0.497778,0.497778,0.497361,0.497778,0.497778,
6_4,91.77,91.77,91.77,91.77,91.78,91.78,91.78,91.77,91.77,91.77,91.78,91.78,91.77,91.77,91.77,91.77,91.77,91.77,91.74,
6_5,11130,11130,11130,11130,11130,11130,11130,11130,12670,12670,11340,11340,11130,11060,11060,11130,11130,11130,11130,
6_6,11130,11060,11270,11270,11130,11270,11270,11270,12600,12600,11480,11480,11130,11130,11130,11130,11270,11270,11270,
6_7,11130,11130,11130,11130,11130,11270,11270,11130,12670,12670,11340,11340,11130,11130,11130,11130,11270,11270,11130,
6_8,11130,11130,11130,11130,11130,11130,11130,11130,12600,12600,11270,11270,11130,11060,11060,11060,11060,11060,11060,
6_9,101.875,,,,,,,,,,,,,,,,,,,
7_0,58,58,58,58,58,58,58,58,57,58,58,57,58,58,58,58,58,58,58,
7_1,47,46,46,47,46,46,46,46,46,47,47,46,46,46,46,46,47,46,46,
7_2,13,13,13,13,13,13,13,13,13,14,14,14,13,13,14,14,13,13,13,
7_3,0.494306,0.494306,0.493194,0.493194,0.493194,0.492778,0.489583,0.489583,0.492361,0.493333,0.493333,0.485972,0.485972,0.491667,0.491528,0.491528,0.494722,0.490417,0.490417,
7_4,82.91,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.91,82.91,82.91,82.55,82.55,82.55,82.55,82.9,82.9,82.9,
7_5,11130,11130,11130,11130,11130,11130,11130,11130,12250,12250,11340,11340,11130,11130,11130,11130,11130,11130,11130,
7_6,11130,11130,11130,11130,11130,11270,11270,11130,12390,12390,11340,11340,11270,11270,11270,11270,11130,11130,11270,
7_7,11130,11130,11130,11130,11130,11270,11270,11130,12250,12250,11340,11340,11130,11130,11130,11270,11270,11270,11130,
7_8,11060,11060,11060,11060,11130,11060,11060,11130,12250,12250,11270,11270,11060,11060,11060,11060,11130,11130,11130,
7_9,125,,,,,,,,,,,,,,,,,,,
8_0,41,41,41,42,42,45,42,42,42,44,44,43,43,49,55,55,56,71,71,
8_1,26,26,26,27,27,28,27,27,27,28,28,28,28,31,35,35,37,45,45,
8_2,12,12,12,12,12,12,13,13,11,13,13,13,13,13,12,12,12,13,13,
8_3,0.143611,0.143611,0.208472,0.176528,0.176528,0.201528,0.148056,0.148056,0.207639,0.207639,0.151389,0.244444,0.244444,0.176389,0.2,0.2,0.234444,0.458611,0.458611,
8_4,57.93,68.53,58.37,58.37,81.65,81.65,59.41,71.86,71.86,60.28,76.37,76.37,58.52,79.42,79.42,67.32,67.32,91.57,91.68,
8_5,8890,8890,8960,8890,8890,8890,8960,8960,8890,8890,8680,8890,8890,8890,8890,8890,8750,8750,8960,
8_6,8750,8750,8960,8890,8890,8960,8890,8890,8890,8890,8890,8890,8890,8960,8890,8890,8680,8680,8890,
8_7,8680,8680,8890,8890,8890,8960,8890,8890,8960,8960,8680,8890,8890,8890,8890,8890,8680,8680,8890,
8_8,8680,8680,8960,8750,8750,8960,8960,8960,8890,8890,8890,8890,8890,8960,8890,8890,8680,8680,8960,
8_9,86.875,,,,,,,,,,,,,,,,,,,
9_0,73,70,72,72,68,68,70,69,69,72,73,73,72,72,68,72,72,72,72,
9_1,54,52,54,54,50,50,52,51,51,54,54,54,53,53,54,54,54,54,53,
9_2,12,13,12,12,12,12,12,13,13,15,13,13,13,13,12,12,12,12,12,
9_3,5.455833,5.455833,5.38625,5.160694,5.160694,5.209722,5.240139,5.240139,5.21625,5.275556,5.275556,5.16,5.16,5.211944,5.161806,5.161806,5.245833,5.065417,5.065417,
9_4,82.39,82.45,82.38,82.38,82.32,82.39,82.39,82.33,82.33,82.29,82.29,82.29,82.15,82.14,82.14,82.03,82.05,82.05,82.07,
9_5,8750,8890,8890,8890,8960,8890,8890,8890,9310,9310,8890,8890,8890,8890,8890,8680,8960,8960,8680,
9_6,8750,8890,8890,8890,8960,8890,8890,8890,9380,9380,8890,8890,8890,8750,8750,8890,8750,8750,8680,
9_7,8750,8890,8750,8750,8960,8960,8960,8960,9310,9310,8890,8890,8890,8960,8960,8750,8890,8890,8680,
9_8,8750,8890,8890,8890,8890,8960,8960,8960,9380,9380,8960,8960,8960,8750,8750,8890,8890,8890,8680,
9_9,146.875,,,,,,,,,,,,,,,,,,,
10_0,62,62,62,62,63,63,62,62,62,65,63,63,63,63,68,59,59,59,59,
10_1,49,49,49,49,49,49,49,49,49,51,49,49,50,50,53,47,47,47,47,
10_2,11,11,11,11,11,11,11,11,11,13,11,11,11,11,11,11,11,11,11,
10_3,0.499583,0.500278,0.500278,0.500278,0.500278,0.500556,0.500417,0.500417,0.500278,0.5,0.5,0.5,0.5,0.500139,0.499028,0.499028,0.499861,0.501111,0.501111,
10_4,92.07,92.07,92.07,92.07,92.07,92.07,92.07,92.07,92.07,92.07,92.07,92.07,92.07,92.07,92.07,92.07,92.07,92.07,92.07,
10_5,8120,8120,8120,8050,8050,8050,8120,8120,8120,8120,8120,8120,8120,7420,7490,7490,,,8680,
10_6,8050,8050,8050,8050,8050,8050,8120,8120,8120,8120,8120,8050,8050,7420,7420,7420,,,8680,
10_7,8050,8050,8050,8050,8050,8050,8050,8050,8120,8120,8050,8050,8050,7420,7420,7420,,,8680,
10_8,8050,8050,8050,8050,8050,8050,8120,8120,8120,8120,8120,8050,8050,7420,7420,7420,,,8540,
10_9,130.9375,,,,,,,,,,,,,,,,,,,
11_0,72,72,72,72,72,72,72,72,72,72,72,72,72,44,38,38,,70,70,
11_1,57,57,58,57,57,58,57,57,58,58,58,58,58,36,33,33,,56,56,
11_2,11,11,11,11,11,11,11,11,11,12,12,11,11,11,11,11,,11,11,
11_3,0.500139,0.50125,0.50125,0.500556,0.500556,0.500278,0.500833,0.500833,0.500417,0.500278,0.500278,0.500694,0.500694,0.500417,0.00625,0.00625,0.438889,0.498889,0.498889,
11_4,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,93.24,89.85,89.85,83.14,83.13,
11_5,8120,8120,8120,8050,8050,8050,8120,8120,8260,8260,8120,8120,8120,7420,7490,7490,8750,8750,8680,
11_6,8050,8050,8260,8050,8050,8050,8120,8120,8260,8260,8120,8050,8050,7490,7490,7490,8750,8750,8750,
11_7,8050,8050,8050,8050,8050,8050,8120,8120,8120,8120,8120,8050,8050,7420,7420,7420,8680,8680,8680,
11_8,8050,8050,8120,8050,8050,8050,8120,8120,8120,8120,8050,8050,8050,7420,7420,7420,8680,8680,8680,
11_9,148.75,,,,,,,,,,,,,,,,,,,
12_0,65,65,64,64,64,65,65,64,68,68,65,65,65,64,64,64,64,64,64,
12_1,48,48,48,48,48,48,48,48,53,53,49,48,48,48,48,48,48,48,48,
12_2,10,10,10,10,10,10,10,11,19,19,11,10,10,10,10,10,10,10,10,
12_3,0.499861,0.499861,0.499722,0.499583,0.499583,0.499444,0.500278,0.500278,0.499583,0.500139,0.500139,0.500278,0.500278,0.499722,0.499444,0.499444,0.499167,0.5,0.5,
12_4,92.87,92.88,92.66,92.66,92.78,92.78,92.78,92.88,92.88,92.88,92.88,92.88,92.88,92.88,92.88,92.88,92.88,92.88,92.88,
12_5,8120,8120,8260,8470,8470,8470,8470,8470,8540,8540,8470,8120,8120,8260,8470,8470,8120,8120,8120,
12_6,8120,8120,8260,8470,8470,8470,8330,8330,8540,8540,8260,8260,8260,8120,8470,8470,8120,8120,8120,
12_7,8120,8120,8120,8470,8470,8330,8470,8470,8540,8540,8330,8050,8050,8120,8470,8470,8120,8120,8050,
12_8,8050,8050,8120,8470,8470,8330,8330,8330,8540,8540,8260,8120,8120,8120,8470,8470,8120,8120,8120,
12_9,132.8125,,,,,,,,,,,,,,,,,,,
13_0,67,67,67,67,67,67,66,66,67,67,67,67,67,67,67,67,67,67,67,
13_1,57,56,56,57,56,56,56,56,56,57,57,56,56,56,56,56,56,56,56,
13_2,10,10,10,10,10,10,10,10,10,11,11,11,11,11,10,10,10,10,10,
13_3,0.497361,0.498056,0.498056,0.494444,0.494444,0.4975,0.496528,0.496528,0.497083,0.495833,0.495833,0.495833,0.495833,0.49625,0.496389,0.496389,0.496667,0.496111,0.496111,
13_4,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,
13_5,8260,8260,8120,8120,8120,8470,8120,8120,8330,8330,8330,8330,8330,8260,8260,8260,8330,8330,8330,
13_6,8120,8120,8050,8120,8120,8120,8050,8050,8330,8330,8260,8330,8330,8260,8470,8470,8260,8260,8260,
