code	name
0	compute-1-1
1	compute-1-3
2	compute-1-5
3	compute-1-7
4	compute-1-9
5	compute-1-11
6	compute-1-13
7	compute-1-15
8	compute-1-17
9	compute-1-19
10	compute-1-21
11	compute-1-23
12	compute-1-25
13	compute-1-27
14	compute-1-29
15	compute-1-31
16	compute-1-33
17	compute-1-35
18	compute-1-37
19	compute-1-39
20	compute-1-41
21	compute-1-43
22	compute-1-45
23	compute-1-47
24	compute-1-49
25	compute-1-51
26	compute-1-53
27	compute-1-55
28	compute-1-57
29	compute-1-59
30	compute-1-2
31	compute-1-4
32	compute-1-6
33	compute-1-8
34	compute-1-10
35	compute-1-12
36	compute-1-14
37	compute-1-16
38	compute-1-18
39	compute-1-20
40	compute-1-22
41	compute-1-24
42	compute-1-26
43	compute-1-28
44	compute-1-30
45	compute-1-32
46	compute-1-34
47	compute-1-36
48	compute-1-38
49	compute-1-40
50	compute-1-42
51	compute-1-44
52	compute-1-46
53	compute-1-48
54	compute-1-50
55	compute-1-52
56	compute-1-54
57	compute-1-56
58	compute-1-58
59	compute-1-60
60	compute-2-1
61	compute-2-3
62	compute-2-5
63	compute-2-7
64	compute-2-9
65	compute-2-11
66	compute-2-13
67	compute-2-15
68	compute-2-17
69	compute-2-19
70	compute-2-21
71	compute-2-23
72	compute-2-25
73	compute-2-27
74	compute-2-29
75	compute-2-31
76	compute-2-33
77	compute-2-35
78	compute-2-37
79	compute-2-39
80	compute-2-41
81	compute-2-43
82	compute-2-45
83	compute-2-47
84	compute-2-49
85	compute-2-51
86	compute-2-53
87	compute-2-55
88	compute-2-57
89	compute-2-59
90	compute-2-2
91	compute-2-4
92	compute-2-6
93	compute-2-8
94	compute-2-10
95	compute-2-12
96	compute-2-14
97	compute-2-16
98	compute-2-18
99	compute-2-20
100	compute-2-22
101	compute-2-24
102	compute-2-26
103	compute-2-28
104	compute-2-30
105	compute-2-32
106	compute-2-34
107	compute-2-36
108	compute-2-38
109	compute-2-40
110	compute-2-42
111	compute-2-44
112	compute-2-46
113	compute-2-48
114	compute-2-50
115	compute-2-52
116	compute-2-54
117	compute-2-56
118	compute-2-58
119	compute-2-60
120	compute-3-1
121	compute-3-3
122	compute-3-5
123	compute-3-7
124	compute-3-9
125	compute-3-11
126	compute-3-13
127	compute-3-15
128	compute-3-17
129	compute-3-19
130	compute-3-21
131	compute-3-23
